"ACS Profile Report, 2013-2017: Demographic",,,,"ACS Profile Report, 2013-2017: Economic",,,,"ACS Profile Report, 2013-2017: Social",,,,"ACS Profile Report, 2013-2017: Housing",,,
ZCTA5 78752 (86000US78752),,,,ZCTA5 78752 (86000US78752),,,,ZCTA5 78752 (86000US78752),,,,ZCTA5 78752 (86000US78752),,,
,,,,,,,,,,,,,,,
Subject,ZCTA5 78752,,,Subject,ZCTA5 78752,,,Subject,ZCTA5 78752,,,Subject,ZCTA5 78752,,
  Black (alone or in combination),2010,+/- 510,9.9,  Mean nonfamily income,45330,+/- 5148,,Women 15 to 50 years old,5255,+/- 478,,Occupied housing units,7932,+/- 331,
  American Indian (alone or in combination),339,+/- 287,1.7,All full-time workers,8757,+/- 781,,Unmarried women 15 to 50 years old,3192,+/- 615,60.7,  Moved in 2010 or later,5215,+/- 436,65.7
  Asian (alone or in combination),413,+/- 186,2,  All male full-time workers,5346,+/- 646,61,Women 15 to 50 years old who had a birth in the past 12 months,258,+/- 125,4.9,  Moved in 2000 to 2009,1826,+/- 313,23
  Native Hawaiian (alone or in combination),-,,,  All female full-time workers,3411,+/- 439,39,  Unmarried women who gave birth,110,+/- 82,42.6,  Moved in 1990 to 1999,438,+/- 151,5.5
  Some other race (alone or in combination),4833,+/- 1135,23.8,Median earnings for workers,26725,+/- 2991,,  Women 15 to 19 years of age,-,,,  Moved in 1980 to 1989,190,+/- 99,2.4
D4. HISPANIC OR LATINO (ANY RACE),,,,"Median earnings for male full-time, year-round workers",32287,+/- 4272,,  Women 20 to 34 years of age,196,+/- 125,76,  Moved in 1979 or earlier,263,+/- 99,3.3
Universe: Total population,,,,"Median earnings for female full-time, year-round workers",35738,+/- 4595,,  Women 35 to 50 years of age,62,+/- 61,24,H5. VEHICLES AVAILABLE,,,
Total population,20302,+/- 1360,,E4. POVERTY STATUS OVER THE LAST 12 MONTHS,,,,"  Per 1,000 unmarried women",34,+/- 30,,Universe: Occupied housing units,,,
  Hispanic or Latino of any race,11929,+/- 1303,58.8,Universe: Persons for whom poverty status is determined,,,,"  Per 1,000 women 15 to 50 years old",49,+/- 20,,Occupied housing units,7932,+/- 331,
  Not Hispanic or Latino,8373,+/- 802,41.2,Persons for whom poverty status is determined,20289,+/- 1361,,"  Per 1,000 women 15 to 19 years old",-,,,  No vehicles available,872,+/- 244,11
    White alone,6015,+/- 647,29.6,  Persons below poverty,5254,+/- 1195,25.9,"  Per 1,000 women 20 to 34 years old",66,+/- 40,,  1 vehicle available,3738,+/- 378,47.1
    Black or African American alone,1704,+/- 463,8.4,  Poverty ratio under 0.5,1501,+/- 467,7.4,"  Per 1,000 women 35 to 50 years old",33,+/- 30,,  2 vehicles available,2460,+/- 342,31
    American Indian and Alaska Native alone,36,+/- 42,0.2,  Poverty ratio in 0.5 to 0.99,3753,+/- 1118,18.5,S6. GRANDPARENTS AS CAREGIVERS,,,,  3 or more vehicles available,862,+/- 227,10.9
    Asian alone,354,+/- 188,1.7,  Poverty ratio in 1 to 2,5213,+/- 1253,25.7,Universe: Population 30 years and over,,,,H6. HOUSE HEATING FUEL,,,
    Native Hawaiian and Other Pacific Islander alone,-,,,  Poverty ratio in 2 and over,9822,+/- 1033,48.4,Grandparents living with own grandchildren under 18 years,422,+/- 262,,Universe: Occupied housing units,,,
,,,,Persons under 18 for whom poverty status is determined,5001,+/- 654,,  Grandparents responsible for grandchildren,87,+/- 105,20.6,Occupied housing units,7932,+/- 331,
,,,,  Persons under 18 in poverty,2087,+/- 444,41.7,    Less than 1 year,-,,,  Utility gas,3056,+/- 296,38.5
,,,,Persons aged 18 to 64 for whom poverty status is determined,14126,+/- 1034,,    1 or 2 years,25,+/- 40,28.7,"  Bottled, tank, or LP gas",122,+/- 82,1.5
,,,,  Persons aged 18 to 64 in poverty,3000,+/- 464,21.2,    3 or 4 years,-,,,  Electricity,4664,+/- 362,58.8
,,,,Persons over 65 for whom poverty status is determined,1162,+/- 226,,    5 or more years,62,+/- 99,71.3,"  Fuel oil, kerosene, etc.",-,,
,,,,  Persons over 65 in poverty,167,+/- 114,14.4,S7. SCHOOL ENROLLMENT,,,,  Coal or coke,9,+/- 15,0.1
,,,,Persons in families for whom poverty status is determined,14128,+/- 1709,,Universe: Population 3 years and over,,,,  Wood,20,+/- 20,0.3
,,,,Unrelated individuals for whom poverty status is determined,6161,+/- 731,,Population 3 years and over,19404,+/- 1327,,  Solar energy,-,,
,,,,  Persons in families in poverty,3871,+/- 1138,27.4,Population 3 years and over enrolled in school,5214,+/- 655,26.9,  Other fuel,-,,
,,,,Family households in poverty,851,+/- 209,22.2,"  In nursery school, preschool",615,+/- 220,11.8,  No fuel used,61,+/- 55,0.8
,,,,  Unrelated persons in poverty 15 years and over,1383,+/- 265,22.4,  In kindergarten,265,+/- 132,5.1,H7. SELECTED CHARACTERISTICS,,,
,,,,E5. EMPLOYMENT STATUS,,,,"  In elementary school, grades 1-8",2248,+/- 411,43.1,Universe: Occupied housing units,,,
,,,,Universe: Population 16 years and over,,,,"  In high school, grades 9-12",647,+/- 204,12.4,Occupied housing units,7932,+/- 331,
,,,,Population 16 years and over,15579,+/- 999,,  In college or graduate school,1439,+/- 290,27.6,  Lacking complete plumbing facilities,126,+/- 112,1.6
,,,,  In labor force,12097,+/- 892,77.6,S8. EDUCATIONAL ATTAINMENT,,,,  Lacking complete kitchen facilities,50,+/- 56,0.6
,,,,  Civilian labor force,12097,+/- 892,77.6,Universe: Population 25 years and over,,,,  No telephone service available,173,+/- 99,2.2
,,,,    Employed civilians,11573,+/- 867,95.7,Population 25 years and over,13606,+/- 970,,H8. OCCUPANTS PER ROOM,,,
,,,,    Unemployed civilians,524,+/- 198,4.3,  Less than 9th grade,1884,+/- 383,13.8,Universe: Occupied housing units,,,
,,,,  In military,-,,,"  9th to 12th grade, no diploma",987,+/- 261,7.3,Occupied housing units,7932,+/- 331,
,,,,  Not in labor force,3482,+/- 510,22.4,  High school graduate (includes equivalency),3164,+/- 631,23.3,  1.00 or less,6978,+/- 499,88
,,,,  Females 16 years and over,6878,+/- 499,44.1,"  Some college, no degree",2626,+/- 437,19.3,  1.01 to 1.50,558,+/- 170,7
,,,,  Females in labor force,4859,+/- 543,31.2,  Associates degree,344,+/- 136,2.5,  1.51 or more,396,+/- 176,5
,,,,  Females in civilian labor force,4859,+/- 543,31.2,  Bachelors degree,3172,+/- 417,23.3,H9. HOME VALUES,,,
,,,,    Employed females,4627,+/- 525,95.2,  Graduate or professional degree,1429,+/- 350,10.5,Universe: Owner-occupied units,,,
,,,,E6. CHILDREN WITH ALL PARENTS WORKING,,,,High school graduate or higher,10735,+/- 983,78.9,Owner-occupied units,2165,+/- 240,
,,,,Universe: Own children under 18 years in families and subfamilies,,,,Bachelor degree or higher,4601,+/- 544,33.8,"  Less than $50,000",89,+/- 98,4.1
,,,,(Own) children under 6,2109,+/- 432,,S9. VETERAN STATUS,,,,"  $50,000 to $99,999",69,+/- 61,3.2
,,,,  All parents working,1313,+/- 394,62.3,Universe: Civilian population 18 years and over,,,,"  $100,000 to $149,999",164,+/- 89,7.6
,,,,(Own) children aged 6 to 17,2807,+/- 532,,Civilian population 18 years and over,15290,+/- 975,100,"  $150,000 to $199,999",388,+/- 141,17.9
,,,,  All parents working,1576,+/- 378,56.1,  Civilian veterans,603,+/- 188,3.9,"  $200,000 to $299,999",902,+/- 186,41.7
,,,,E7. COMMUTING TO WORK,,,,S10a. DISABLED BY AGE,,,,"  $300,000 to $499,999",519,+/- 160,24
,,,,Universe: Workers 16 years and over,,,,Universe: Civilian noninstitutionalized population ,,,,"  $500,000 to $999,999",34,+/- 51,1.6
,,,,Workers 16 years and over,11269,+/- 860,,Civilian noninstitutionalized persons,20289,+/- 1361,,"  $1,000,000 or more",-,,
,,,,  Workers 16+ who commute to work,10856,+/- 897,96.3,    With a disability,2187,+/- 367,10.8,"  $2,000,000 or more",-,,
,,,,"    Car, truck, or van; drove alone",7394,+/- 725,65.6,  Persons 18 and under,5093,+/- 733,25.1,  Median home value,233900,+/- 12852,
,,,,"    Car, truck, or van; carpooled",2562,+/- 667,22.7,    With a disability,253,+/- 137,5,  Average home value,236929,+/- 19316,
,,,,    Public transportation (excluding taxicab),483,+/- 180,4.3,  Persons 19 to 64 years,14034,+/- 960,69.2,H10. SELECTED MONTHLY OWNER COSTS,,,
,,,,    Walked to work,258,+/- 141,2.3,    With a disability,1482,+/- 306,10.6,Universe: Owner-occupied units,,,
,,,,    Other means of commuting,159,+/- 94,1.4,  Persons 65 years and over,1162,+/- 207,5.7,Owner-occupied units,2165,+/- 240,
,,,,  Worked at home,413,+/- 188,3.7,    With a disability,452,+/- 150,38.9,  Housing units with a mortgage,1649,+/- 235,76.2
,,,,Mean travel time to work in minutes,24.3,+/- 2.8,,S11. RESIDENCE 1 YEAR AGO,,,,    Owner costs 30% or more of HH income,509,+/- 167,30.9
,,,,E8. WORKERS BY OCCUPATION,,,,Universe: Population 1 year and over,,,,    Median owner costs,1656,+/- 103,
,,,,Universe: Civilian employed population 16 years and over,,,,Population 1 year and over,20025,+/- 1371,,  Housing units without a mortgage,516,+/- 149,23.8
,,,,Civilian employed population 16 years and over,11573,+/- 867,,  Same house,15410,+/- 1399,77,    Nonmortgage owner costs 30% or more of HH income,48,+/- 54,9.3
,,,,"  Management, business, science, and arts occupations",3750,+/- 485,32.4,  Different house in the U.S.,4464,+/- 909,22.3,    Median owner costs,567,+/- 59,
,,,,  Service occupations,2895,+/- 496,25,    Same county,3413,+/- 803,76.5,H11. GROSS RENT,,,
,,,,  Sales and office occupations,2008,+/- 343,17.4,    Different county (any),1051,+/- 228,23.5,Universe: Renter-occupied units,,,
,,,,"  Farming, fishing, and forestry occupations",-,,,    Different county (same state),495,+/- 268,11.1,Renter-occupied units,5767,+/- 358,
,,,,"  Construction, extraction, installation, maintenance, and repair occupations",1954,+/- 507,16.9,    Different state,556,+/- 285,12.5,  Paying cash rent,5539,+/- 376,96
,,,,"  Production, transportation, and material moving occupations",966,+/- 240,8.3,  Lived abroad 1 year ago,151,+/- 125,0.8,  Paying no cash rent,228,+/- 136,4
,,,,E9. WORKERS BY INDUSTRY,,,,S12. PLACE OF BIRTH AND CITIZENSHIP STATUS,,,,  Median rent,962,+/- 41,
,,,,Universe: Civilian employed population 16 years and over,,,,Universe: Total population,,,,  Average gross rent,1065,+/- 53,
,,,,Civilian employed population 16 years and over,11573,+/- 867,,Total population,20302,+/- 1360,,  Gross rent 30% or more of HH income,3098,+/- 436,53.7
,,,,"  Agriculture, forestry, fishing and hunting, and mining",11,+/- 29,0.1,  U.S. native,13892,+/- 1152,68.4,  Gross rent of $750 or more,4530,+/- 509,78.6
,,,,  Construction,1683,+/- 493,14.5,    Born in United States,13503,+/- 1132,97.2,,,,
,,,,  Manufacturing,560,+/- 201,4.8,      Born in state of current residence,9632,+/- 1021,71.3,,,,
,,,,  Wholesale trade,176,+/- 109,1.5,      Born in different state than current residence,3871,+/- 489,28.7,,,,
,,,,  Retail trade,887,+/- 215,7.7,"    Born in Puerto Rico, U.S. Island areas, or born abroad to American parents",389,+/- 181,2.8,,,,
,,,,"  Transportation and warehousing, and utilities",424,+/- 150,3.7,  Foreign born,6410,+/- 819,31.6,,,,
,,,,  Information,343,+/- 129,3,    Naturalized U.S. citizen,1126,+/- 357,17.6,,,,
,,,,"  Finance and insurance, and real estate and rental and leasing",434,+/- 179,3.8,    Not a U.S. citizen,5284,+/- 776,82.4,,,,
,,,,"  Professional, scientific, management, and administrative",1983,+/- 418,17.1,S13. YEAR OF ENTRY,,,,,,,
,,,,"  Educational services, and health care and social assistance",2279,+/- 415,19.7,Universe: Population born outside the United States,,,,,,,
,,,,"  Arts, entertainment, and recreation, and accommodation and food services",1287,+/- 269,11.1,Population born outside the United States,6799,+/- 834,33.5,,,,
,,,,"  Other services, except public administration",912,+/- 287,7.9,"  Native, born outside U.S.",389,+/- 169,5.7,,,,
,,,,  Public administration,594,+/- 192,5.1,    Entered U.S. 2000 or later,1181,+/- 379,303.6,,,,
,,,,E10. CLASS OF WORKER,,,,    Entered U.S. before 2000,305,+/- 138,78.4,,,,
,,,,Universe: Civilian employed population 16 years and over,,,,  Foreign born,6410,+/- 819,31.6,,,,
,,,,Civilian employed population 16 years and over,11573,+/- 867,,    Entered U.S. 2000 or later,3980,+/- 836,62.1,,,,
,,,,  Private wage and salary workers,9450,+/- 894,81.7,    Entered U.S. before 2000,2430,+/- 521,37.9,,,,
,,,,  Government workers,1582,+/- 349,13.7,S14. WORLD REGION OF BIRTH OF FOREIGN BORN,,,,,,,
,,,,  Self-employed workers in own not incorporated business,486,+/- 161,4.2,"Universe: Foreign-born population, excluding population born at sea",,,,,,,
,,,,  Unpaid family workers,55,+/- 75,0.5,"Foreign-born population, excluding population born at sea",6410,+/- 819,31.6,,,,
,,,,E11. INSURANCE COVERAGE,,,,  Europe,322,+/- 165,5,,,,
,,,,Universe: Civilian noninstitutionalized population,,,,  Asia,423,+/- 250,6.6,,,,
,,,,Civilian noninstitutionalized persons,20289,+/- 1361,,  Africa,166,+/- 139,2.6,,,,
,,,,  Under 65 years of age,19127,+/- 1208,94.3,  Oceania,5,+/- 9,0.1,,,,
,,,,    Without insurance coverage,5043,+/- 769,26.4,  South and Central America (includes Mexico),5478,+/- 843,85.5,,,,
,,,,    With public insurance,5228,+/- 840,27.3,  Northern America,16,+/- 18,0.2,,,,
,,,,    With private insurance,9204,+/- 866,48.1,S15. LANGUAGE SPOKEN AT HOME,,,,,,,
,,,,  Under 19 years of age,5093,+/- 733,25.1,Universe: Population 5 years and over,,,,,,,
,,,,    Without insurance coverage,545,+/- 218,10.7,Population 5 years and over,-,,,,,,
,,,,,,,,  English only,8648,+/- 842,,,,,
,,,,,,,,  Language other than English,9991,+/- 1171,,,,,
,,,,,,,,"    Speaks English less than ""very well""",5010,+/- 808,50.1,,,,
,,,,,,,,  Speak Spanish,9148,+/- 1131,,,,,
,,,,,,,,"    Speaks English less than ""very well""",4752,+/- 797,51.9,,,,
,,,,,,,,S16. COMPUTER OWNERSHIP AND INTERNET USE,,,,,,,
,,,,,,,,Universe: Total households,,,,,,,
,,,,,,,,Total households,7932,+/- 331,,,,,
,,,,,,,,  Households with no computer,1360,+/- 299,17.1,,,,
,,,,,,,,  Households with a computer,6572,+/- 415,82.9,,,,
,,,,,,,,    With a dial-up internet subscription alone,3,+/- 6,,,,,
,,,,,,,,    With a broadband internet subscription,5737,+/- 393,87.3,,,,
,,,,,,,,    No internet subscription,832,+/- 224,12.7,,,,
