"ACS Profile Report, 2013-2017: Demographic",,,,"ACS Profile Report, 2013-2017: Economic",,,,"ACS Profile Report, 2013-2017: Social",,,,"ACS Profile Report, 2013-2017: Housing",,,
ZCTA5 78736 (86000US78736),,,,ZCTA5 78736 (86000US78736),,,,ZCTA5 78736 (86000US78736),,,,ZCTA5 78736 (86000US78736),,,
,,,,,,,,,,,,,,,
Subject,ZCTA5 78736,,,Subject,ZCTA5 78736,,,Subject,ZCTA5 78736,,,Subject,ZCTA5 78736,,
  American Indian (alone or in combination),146,+/- 126,1.8,All full-time workers,3445,+/- 345,,Unmarried women 15 to 50 years old,779,+/- 390,38.5,  Moved in 2010 or later,1318,+/- 240,43.6
  Asian (alone or in combination),466,+/- 223,5.7,  All male full-time workers,1980,+/- 253,57.5,Women 15 to 50 years old who had a birth in the past 12 months,65,+/- 61,3.2,  Moved in 2000 to 2009,902,+/- 182,29.8
  Native Hawaiian (alone or in combination),17,+/- 43,0.2,  All female full-time workers,1465,+/- 235,42.5,  Unmarried women who gave birth,-,,,  Moved in 1990 to 1999,377,+/- 127,12.5
  Some other race (alone or in combination),18,+/- 29,0.2,Median earnings for workers,50652,+/- 5873,,  Women 15 to 19 years of age,-,,,  Moved in 1980 to 1989,264,+/- 96,8.7
D4. HISPANIC OR LATINO (ANY RACE),,,,"Median earnings for male full-time, year-round workers",69959,+/- 9866,,  Women 20 to 34 years of age,44,+/- 53,67.7,  Moved in 1979 or earlier,162,+/- 78,5.4
Universe: Total population,,,,"Median earnings for female full-time, year-round workers",52027,+/- 3206,,  Women 35 to 50 years of age,21,+/- 38,32.3,H5. VEHICLES AVAILABLE,,,
Total population,8199,+/- 645,,E4. POVERTY STATUS OVER THE LAST 12 MONTHS,,,,"  Per 1,000 unmarried women",-,,,Universe: Occupied housing units,,,
  Hispanic or Latino of any race,1226,+/- 238,15,Universe: Persons for whom poverty status is determined,,,,"  Per 1,000 women 15 to 50 years old",32,+/- 30,,Occupied housing units,3023,+/- 220,
  Not Hispanic or Latino,6973,+/- 625,85,Persons for whom poverty status is determined,8086,+/- 642,,"  Per 1,000 women 15 to 19 years old",-,,,  No vehicles available,16,+/- 32,0.5
    White alone,6360,+/- 687,77.6,  Persons below poverty,227,+/- 142,2.8,"  Per 1,000 women 20 to 34 years old",62,+/- 80,,  1 vehicle available,751,+/- 165,24.8
    Black or African American alone,37,+/- 44,0.5,  Poverty ratio under 0.5,63,+/- 63,0.8,"  Per 1,000 women 35 to 50 years old",21,+/- 40,,  2 vehicles available,1404,+/- 246,46.4
    American Indian and Alaska Native alone,14,+/- 23,0.2,  Poverty ratio in 0.5 to 0.99,164,+/- 141,2,S6. GRANDPARENTS AS CAREGIVERS,,,,  3 or more vehicles available,852,+/- 194,28.2
    Asian alone,338,+/- 205,4.1,  Poverty ratio in 1 to 2,331,+/- 205,4.1,Universe: Population 30 years and over,,,,H6. HOUSE HEATING FUEL,,,
    Native Hawaiian and Other Pacific Islander alone,6,+/- 13,0.1,  Poverty ratio in 2 and over,7528,+/- 611,93.1,Grandparents living with own grandchildren under 18 years,82,+/- 87,,Universe: Occupied housing units,,,
,,,,Persons under 18 for whom poverty status is determined,1783,+/- 329,,  Grandparents responsible for grandchildren,14,+/- 21,17.1,Occupied housing units,3023,+/- 220,
,,,,  Persons under 18 in poverty,51,+/- 77,2.9,    Less than 1 year,-,,,  Utility gas,845,+/- 152,28
,,,,Persons aged 18 to 64 for whom poverty status is determined,5357,+/- 502,,    1 or 2 years,14,+/- 21,100,"  Bottled, tank, or LP gas",242,+/- 125,8
,,,,  Persons aged 18 to 64 in poverty,161,+/- 93,3,    3 or 4 years,-,,,  Electricity,1936,+/- 242,64
,,,,Persons over 65 for whom poverty status is determined,946,+/- 184,,    5 or more years,-,,,"  Fuel oil, kerosene, etc.",-,,
,,,,  Persons over 65 in poverty,15,+/- 41,1.6,S7. SCHOOL ENROLLMENT,,,,  Coal or coke,-,,
,,,,Persons in families for whom poverty status is determined,6829,+/- 676,,Universe: Population 3 years and over,,,,  Wood,-,,
,,,,Unrelated individuals for whom poverty status is determined,1257,+/- 288,,Population 3 years and over,7908,+/- 643,,  Solar energy,-,,
,,,,  Persons in families in poverty,115,+/- 157,1.7,Population 3 years and over enrolled in school,1749,+/- 278,22.1,  Other fuel,-,,
,,,,Family households in poverty,33,+/- 39,1.5,"  In nursery school, preschool",166,+/- 102,9.5,  No fuel used,-,,
,,,,  Unrelated persons in poverty 15 years and over,112,+/- 68,8.9,  In kindergarten,96,+/- 85,5.5,H7. SELECTED CHARACTERISTICS,,,
,,,,E5. EMPLOYMENT STATUS,,,,"  In elementary school, grades 1-8",881,+/- 192,50.4,Universe: Occupied housing units,,,
,,,,Universe: Population 16 years and over,,,,"  In high school, grades 9-12",356,+/- 157,20.4,Occupied housing units,3023,+/- 220,
,,,,Population 16 years and over,6544,+/- 546,,  In college or graduate school,250,+/- 110,14.3,  Lacking complete plumbing facilities,-,,
,,,,  In labor force,4642,+/- 457,70.9,S8. EDUCATIONAL ATTAINMENT,,,,  Lacking complete kitchen facilities,16,+/- 32,0.5
,,,,  Civilian labor force,4642,+/- 457,70.9,Universe: Population 25 years and over,,,,  No telephone service available,38,+/- 49,1.3
,,,,    Employed civilians,4587,+/- 444,98.8,Population 25 years and over,6013,+/- 559,,H8. OCCUPANTS PER ROOM,,,
,,,,    Unemployed civilians,55,+/- 56,1.2,  Less than 9th grade,21,+/- 53,0.3,Universe: Occupied housing units,,,
,,,,  In military,-,,,"  9th to 12th grade, no diploma",149,+/- 92,2.5,Occupied housing units,3023,+/- 220,
,,,,  Not in labor force,1902,+/- 332,29.1,  High school graduate (includes equivalency),800,+/- 215,13.3,  1.00 or less,2993,+/- 328,99
,,,,  Females 16 years and over,3457,+/- 351,52.8,"  Some college, no degree",1426,+/- 278,23.7,  1.01 to 1.50,14,+/- 29,0.5
,,,,  Females in labor force,2251,+/- 339,34.4,  Associates degree,407,+/- 165,6.8,  1.51 or more,16,+/- 41,0.5
,,,,  Females in civilian labor force,2251,+/- 339,34.4,  Bachelors degree,2238,+/- 349,37.2,H9. HOME VALUES,,,
,,,,    Employed females,2223,+/- 338,98.8,  Graduate or professional degree,972,+/- 225,16.2,Universe: Owner-occupied units,,,
,,,,E6. CHILDREN WITH ALL PARENTS WORKING,,,,High school graduate or higher,5843,+/- 569,97.2,Owner-occupied units,2472,+/- 227,
,,,,Universe: Own children under 18 years in families and subfamilies,,,,Bachelor degree or higher,3210,+/- 415,53.4,"  Less than $50,000",162,+/- 114,6.6
,,,,(Own) children under 6,520,+/- 164,,S9. VETERAN STATUS,,,,"  $50,000 to $99,999",64,+/- 57,2.6
,,,,  All parents working,372,+/- 153,71.5,Universe: Civilian population 18 years and over,,,,"  $100,000 to $149,999",77,+/- 54,3.1
,,,,(Own) children aged 6 to 17,1263,+/- 237,,Civilian population 18 years and over,6416,+/- 540,100,"  $150,000 to $199,999",233,+/- 105,9.4
,,,,  All parents working,829,+/- 264,65.6,  Civilian veterans,459,+/- 127,7.2,"  $200,000 to $299,999",598,+/- 169,24.2
,,,,E7. COMMUTING TO WORK,,,,S10a. DISABLED BY AGE,,,,"  $300,000 to $499,999",948,+/- 208,38.3
,,,,Universe: Workers 16 years and over,,,,Universe: Civilian noninstitutionalized population ,,,,"  $500,000 to $999,999",352,+/- 169,14.2
,,,,Workers 16 years and over,4497,+/- 444,,Civilian noninstitutionalized persons,8086,+/- 642,,"  $1,000,000 or more",24,+/- 28,1
,,,,  Workers 16+ who commute to work,3965,+/- 419,88.2,    With a disability,695,+/- 178,8.6,"  $2,000,000 or more",14,+/- 22,0.6
,,,,"    Car, truck, or van; drove alone",3700,+/- 391,82.3,  Persons 18 and under,1871,+/- 295,23.1,  Median home value,313700,+/- 23282,
,,,,"    Car, truck, or van; carpooled",117,+/- 78,2.6,    With a disability,40,+/- 44,2.1,  Average home value,338031,+/- 42806,
,,,,    Public transportation (excluding taxicab),32,+/- 45,0.7,  Persons 19 to 64 years,5269,+/- 442,65.2,H10. SELECTED MONTHLY OWNER COSTS,,,
,,,,    Walked to work,38,+/- 60,0.8,    With a disability,414,+/- 140,7.9,Universe: Owner-occupied units,,,
,,,,    Other means of commuting,78,+/- 92,1.7,  Persons 65 years and over,946,+/- 185,11.7,Owner-occupied units,2472,+/- 227,
,,,,  Worked at home,532,+/- 178,11.8,    With a disability,241,+/- 101,25.5,  Housing units with a mortgage,1557,+/- 187,63
,,,,Mean travel time to work in minutes,28.7,+/- 2.4,,S11. RESIDENCE 1 YEAR AGO,,,,    Owner costs 30% or more of HH income,337,+/- 134,21.6
,,,,E8. WORKERS BY OCCUPATION,,,,Universe: Population 1 year and over,,,,    Median owner costs,2236,+/- 174,
,,,,Universe: Civilian employed population 16 years and over,,,,Population 1 year and over,8147,+/- 656,,  Housing units without a mortgage,915,+/- 181,37
,,,,Civilian employed population 16 years and over,4587,+/- 444,,  Same house,6840,+/- 681,84,    Nonmortgage owner costs 30% or more of HH income,37,+/- 51,4
,,,,"  Management, business, science, and arts occupations",2819,+/- 317,61.5,  Different house in the U.S.,1307,+/- 383,16,    Median owner costs,635,+/- 44,
,,,,  Service occupations,384,+/- 161,8.4,    Same county,952,+/- 384,72.8,H11. GROSS RENT,,,
,,,,  Sales and office occupations,1101,+/- 248,24,    Different county (any),355,+/- 27,27.2,Universe: Renter-occupied units,,,
,,,,"  Farming, fishing, and forestry occupations",-,,,    Different county (same state),127,+/- 96,9.7,Renter-occupied units,551,+/- 143,
,,,,"  Construction, extraction, installation, maintenance, and repair occupations",139,+/- 83,3,    Different state,228,+/- 138,17.4,  Paying cash rent,551,+/- 143,100
,,,,"  Production, transportation, and material moving occupations",144,+/- 104,3.1,  Lived abroad 1 year ago,-,,,  Paying no cash rent,-,,
,,,,E9. WORKERS BY INDUSTRY,,,,S12. PLACE OF BIRTH AND CITIZENSHIP STATUS,,,,  Median rent,1425,+/- 175,
,,,,Universe: Civilian employed population 16 years and over,,,,Universe: Total population,,,,  Average gross rent,1456,+/- 77,
,,,,Civilian employed population 16 years and over,4587,+/- 444,,Total population,8199,+/- 645,,  Gross rent 30% or more of HH income,181,+/- 100,32.8
,,,,"  Agriculture, forestry, fishing and hunting, and mining",42,+/- 51,0.9,  U.S. native,7401,+/- 620,90.3,  Gross rent of $750 or more,551,+/- 173,100
,,,,  Construction,284,+/- 126,6.2,    Born in United States,7303,+/- 696,98.7,,,,
,,,,  Manufacturing,242,+/- 107,5.3,      Born in state of current residence,4352,+/- 562,59.6,,,,
,,,,  Wholesale trade,123,+/- 89,2.7,      Born in different state than current residence,2951,+/- 411,40.4,,,,
,,,,  Retail trade,409,+/- 155,8.9,"    Born in Puerto Rico, U.S. Island areas, or born abroad to American parents",98,+/- 71,1.3,,,,
,,,,"  Transportation and warehousing, and utilities",110,+/- 103,2.4,  Foreign born,798,+/- 252,9.7,,,,
,,,,  Information,135,+/- 90,2.9,    Naturalized U.S. citizen,640,+/- 237,80.2,,,,
,,,,"  Finance and insurance, and real estate and rental and leasing",392,+/- 150,8.5,    Not a U.S. citizen,158,+/- 86,19.8,,,,
,,,,"  Professional, scientific, management, and administrative",802,+/- 192,17.5,S13. YEAR OF ENTRY,,,,,,,
,,,,"  Educational services, and health care and social assistance",1018,+/- 210,22.2,Universe: Population born outside the United States,,,,,,,
,,,,"  Arts, entertainment, and recreation, and accommodation and food services",420,+/- 164,9.2,Population born outside the United States,896,+/- 262,10.9,,,,
,,,,"  Other services, except public administration",159,+/- 109,3.5,"  Native, born outside U.S.",98,+/- 78,10.9,,,,
,,,,  Public administration,451,+/- 157,9.8,    Entered U.S. 2000 or later,-,,,,,,
,,,,E10. CLASS OF WORKER,,,,    Entered U.S. before 2000,98,+/- 74,100,,,,
,,,,Universe: Civilian employed population 16 years and over,,,,  Foreign born,798,+/- 252,9.7,,,,
,,,,Civilian employed population 16 years and over,4587,+/- 444,,    Entered U.S. 2000 or later,198,+/- 111,24.8,,,,
,,,,  Private wage and salary workers,3117,+/- 354,68,    Entered U.S. before 2000,600,+/- 215,75.2,,,,
,,,,  Government workers,842,+/- 216,18.4,S14. WORLD REGION OF BIRTH OF FOREIGN BORN,,,,,,,
,,,,  Self-employed workers in own not incorporated business,597,+/- 205,13,"Universe: Foreign-born population, excluding population born at sea",,,,,,,
,,,,  Unpaid family workers,31,+/- 41,0.7,"Foreign-born population, excluding population born at sea",798,+/- 252,9.7,,,,
,,,,E11. INSURANCE COVERAGE,,,,  Europe,124,+/- 103,15.5,,,,
,,,,Universe: Civilian noninstitutionalized population,,,,  Asia,272,+/- 174,34.1,,,,
,,,,Civilian noninstitutionalized persons,8086,+/- 642,,  Africa,89,+/- 78,11.2,,,,
,,,,  Under 65 years of age,7140,+/- 531,88.3,  Oceania,-,,,,,,
,,,,    Without insurance coverage,615,+/- 185,8.6,  South and Central America (includes Mexico),251,+/- 116,31.5,,,,
,,,,    With public insurance,242,+/- 124,3.4,  Northern America,62,+/- 77,7.8,,,,
,,,,    With private insurance,6312,+/- 509,88.4,S15. LANGUAGE SPOKEN AT HOME,,,,,,,
,,,,  Under 19 years of age,1871,+/- 295,23.1,Universe: Population 5 years and over,,,,,,,
,,,,    Without insurance coverage,149,+/- 113,8,Population 5 years and over,-,,,,,,
,,,,,,,,  English only,6696,+/- 659,,,,,
,,,,,,,,  Language other than English,1055,+/- 339,,,,,
,,,,,,,,"    Speaks English less than ""very well""",54,+/- 41,5.1,,,,
,,,,,,,,  Speak Spanish,640,+/- 258,,,,,
,,,,,,,,"    Speaks English less than ""very well""",48,+/- 39,7.5,,,,
,,,,,,,,S16. COMPUTER OWNERSHIP AND INTERNET USE,,,,,,,
,,,,,,,,Universe: Total households,,,,,,,
,,,,,,,,Total households,3023,+/- 220,,,,,
,,,,,,,,  Households with no computer,53,+/- 50,1.8,,,,
,,,,,,,,  Households with a computer,2970,+/- 220,98.2,,,,
,,,,,,,,    With a dial-up internet subscription alone,21,+/- 34,0.7,,,,
,,,,,,,,    With a broadband internet subscription,2934,+/- 219,98.8,,,,
,,,,,,,,    No internet subscription,15,+/- 24,0.5,,,,
