"ACS Profile Report, 2013-2017: Demographic",,,,"ACS Profile Report, 2013-2017: Economic",,,,"ACS Profile Report, 2013-2017: Social",,,,"ACS Profile Report, 2013-2017: Housing",,,
ZCTA5 78724 (86000US78724),,,,ZCTA5 78724 (86000US78724),,,,ZCTA5 78724 (86000US78724),,,,ZCTA5 78724 (86000US78724),,,
,,,,,,,,,,,,,,,
Subject,ZCTA5 78724,,,Subject,ZCTA5 78724,,,Subject,ZCTA5 78724,,,Subject,ZCTA5 78724,,
  Black (alone or in combination),5959,+/- 996,24,  Mean nonfamily income,45440,+/- 6625,,Women 15 to 50 years old,6603,+/- 628,,Occupied housing units,6360,+/- 312,
  American Indian (alone or in combination),485,+/- 209,2,All full-time workers,7421,+/- 607,,Unmarried women 15 to 50 years old,3713,+/- 824,56.2,  Moved in 2010 or later,3051,+/- 306,48
  Asian (alone or in combination),358,+/- 355,1.4,  All male full-time workers,4137,+/- 415,55.7,Women 15 to 50 years old who had a birth in the past 12 months,362,+/- 157,5.5,  Moved in 2000 to 2009,2134,+/- 346,33.6
  Native Hawaiian (alone or in combination),31,+/- 36,0.1,  All female full-time workers,3284,+/- 443,44.3,  Unmarried women who gave birth,113,+/- 84,31.2,  Moved in 1990 to 1999,554,+/- 168,8.7
  Some other race (alone or in combination),4026,+/- 1035,16.2,Median earnings for workers,23912,+/- 1583,,  Women 15 to 19 years of age,-,,,  Moved in 1980 to 1989,399,+/- 108,6.3
D4. HISPANIC OR LATINO (ANY RACE),,,,"Median earnings for male full-time, year-round workers",31112,+/- 2518,,  Women 20 to 34 years of age,290,+/- 134,80.1,  Moved in 1979 or earlier,222,+/- 82,3.5
Universe: Total population,,,,"Median earnings for female full-time, year-round workers",33354,+/- 4491,,  Women 35 to 50 years of age,72,+/- 81,19.9,H5. VEHICLES AVAILABLE,,,
Total population,24833,+/- 1561,,E4. POVERTY STATUS OVER THE LAST 12 MONTHS,,,,"  Per 1,000 unmarried women",30,+/- 20,,Universe: Occupied housing units,,,
  Hispanic or Latino of any race,16405,+/- 1224,66.1,Universe: Persons for whom poverty status is determined,,,,"  Per 1,000 women 15 to 50 years old",55,+/- 20,,Occupied housing units,6360,+/- 312,
  Not Hispanic or Latino,8428,+/- 1001,33.9,Persons for whom poverty status is determined,23789,+/- 1570,,"  Per 1,000 women 15 to 19 years old",-,,,  No vehicles available,276,+/- 112,4.3
    White alone,2612,+/- 443,10.5,  Persons below poverty,6332,+/- 1330,26.6,"  Per 1,000 women 20 to 34 years old",105,+/- 50,,  1 vehicle available,1730,+/- 302,27.2
    Black or African American alone,5131,+/- 851,20.7,  Poverty ratio under 0.5,2792,+/- 860,11.7,"  Per 1,000 women 35 to 50 years old",25,+/- 30,,  2 vehicles available,2774,+/- 371,43.6
    American Indian and Alaska Native alone,29,+/- 27,0.1,  Poverty ratio in 0.5 to 0.99,3540,+/- 1058,14.9,S6. GRANDPARENTS AS CAREGIVERS,,,,  3 or more vehicles available,1580,+/- 279,24.8
    Asian alone,63,+/- 53,0.3,  Poverty ratio in 1 to 2,8169,+/- 1429,34.3,Universe: Population 30 years and over,,,,H6. HOUSE HEATING FUEL,,,
    Native Hawaiian and Other Pacific Islander alone,12,+/- 29,,  Poverty ratio in 2 and over,9288,+/- 1194,39,Grandparents living with own grandchildren under 18 years,935,+/- 287,,Universe: Occupied housing units,,,
,,,,Persons under 18 for whom poverty status is determined,8987,+/- 834,,  Grandparents responsible for grandchildren,479,+/- 214,51.2,Occupied housing units,6360,+/- 312,
,,,,  Persons under 18 in poverty,3177,+/- 513,35.4,    Less than 1 year,100,+/- 89,20.9,  Utility gas,2554,+/- 279,40.2
,,,,Persons aged 18 to 64 for whom poverty status is determined,13759,+/- 918,,    1 or 2 years,226,+/- 163,47.2,"  Bottled, tank, or LP gas",288,+/- 128,4.5
,,,,  Persons aged 18 to 64 in poverty,2958,+/- 469,21.5,    3 or 4 years,38,+/- 41,7.9,  Electricity,3518,+/- 340,55.3
,,,,Persons over 65 for whom poverty status is determined,1043,+/- 193,,    5 or more years,115,+/- 102,24,"  Fuel oil, kerosene, etc.",-,,
,,,,  Persons over 65 in poverty,197,+/- 91,18.9,S7. SCHOOL ENROLLMENT,,,,  Coal or coke,-,,
,,,,Persons in families for whom poverty status is determined,21054,+/- 2015,,Universe: Population 3 years and over,,,,  Wood,-,,
,,,,Unrelated individuals for whom poverty status is determined,2735,+/- 420,,Population 3 years and over,23570,+/- 1526,,  Solar energy,-,,
,,,,  Persons in families in poverty,5480,+/- 1346,26,Population 3 years and over enrolled in school,8174,+/- 842,34.7,  Other fuel,-,,
,,,,Family households in poverty,1213,+/- 272,23.9,"  In nursery school, preschool",654,+/- 210,8,  No fuel used,-,,
,,,,  Unrelated persons in poverty 15 years and over,852,+/- 235,31.2,  In kindergarten,540,+/- 186,6.6,H7. SELECTED CHARACTERISTICS,,,
,,,,E5. EMPLOYMENT STATUS,,,,"  In elementary school, grades 1-8",3879,+/- 513,47.5,Universe: Occupied housing units,,,
,,,,Universe: Population 16 years and over,,,,"  In high school, grades 9-12",1932,+/- 370,23.6,Occupied housing units,6360,+/- 312,
,,,,Population 16 years and over,16610,+/- 1072,,  In college or graduate school,1169,+/- 285,14.3,  Lacking complete plumbing facilities,24,+/- 30,0.4
,,,,  In labor force,10807,+/- 828,65.1,S8. EDUCATIONAL ATTAINMENT,,,,  Lacking complete kitchen facilities,14,+/- 30,0.2
,,,,  Civilian labor force,10807,+/- 828,65.1,Universe: Population 25 years and over,,,,  No telephone service available,174,+/- 101,2.7
,,,,    Employed civilians,10146,+/- 802,93.9,Population 25 years and over,13466,+/- 862,,H8. OCCUPANTS PER ROOM,,,
,,,,    Unemployed civilians,661,+/- 236,6.1,  Less than 9th grade,2687,+/- 400,20,Universe: Occupied housing units,,,
,,,,  In military,-,,,"  9th to 12th grade, no diploma",2132,+/- 358,15.8,Occupied housing units,6360,+/- 312,
,,,,  Not in labor force,5803,+/- 584,34.9,  High school graduate (includes equivalency),3732,+/- 469,27.7,  1.00 or less,5401,+/- 519,84.9
,,,,  Females 16 years and over,8222,+/- 640,49.5,"  Some college, no degree",2564,+/- 481,19,  1.01 to 1.50,736,+/- 227,11.6
,,,,  Females in labor force,5134,+/- 535,30.9,  Associates degree,614,+/- 190,4.6,  1.51 or more,223,+/- 122,3.5
,,,,  Females in civilian labor force,5134,+/- 535,30.9,  Bachelors degree,1109,+/- 308,8.2,H9. HOME VALUES,,,
,,,,    Employed females,4771,+/- 516,92.9,  Graduate or professional degree,628,+/- 181,4.7,Universe: Owner-occupied units,,,
,,,,E6. CHILDREN WITH ALL PARENTS WORKING,,,,High school graduate or higher,8647,+/- 823,64.2,Owner-occupied units,3847,+/- 355,
,,,,Universe: Own children under 18 years in families and subfamilies,,,,Bachelor degree or higher,1737,+/- 357,12.9,"  Less than $50,000",739,+/- 217,19.2
,,,,(Own) children under 6,2953,+/- 526,,S9. VETERAN STATUS,,,,"  $50,000 to $99,999",825,+/- 226,21.4
,,,,  All parents working,1421,+/- 345,48.1,Universe: Civilian population 18 years and over,,,,"  $100,000 to $149,999",771,+/- 170,20
,,,,(Own) children aged 6 to 17,5548,+/- 742,,Civilian population 18 years and over,15740,+/- 969,100,"  $150,000 to $199,999",794,+/- 196,20.6
,,,,  All parents working,3493,+/- 703,63,  Civilian veterans,651,+/- 179,4.1,"  $200,000 to $299,999",409,+/- 124,10.6
,,,,E7. COMMUTING TO WORK,,,,S10a. DISABLED BY AGE,,,,"  $300,000 to $499,999",190,+/- 76,4.9
,,,,Universe: Workers 16 years and over,,,,Universe: Civilian noninstitutionalized population ,,,,"  $500,000 to $999,999",105,+/- 107,2.7
,,,,Workers 16 years and over,10031,+/- 811,,Civilian noninstitutionalized persons,23891,+/- 1535,,"  $1,000,000 or more",14,+/- 29,0.4
,,,,  Workers 16+ who commute to work,9793,+/- 830,97.6,    With a disability,2118,+/- 400,8.9,"  $2,000,000 or more",-,,
,,,,"    Car, truck, or van; drove alone",8004,+/- 704,79.8,  Persons 18 and under,9374,+/- 895,39.2,  Median home value,122100,+/- 12985,
,,,,"    Car, truck, or van; carpooled",1329,+/- 358,13.2,    With a disability,398,+/- 178,4.2,  Average home value,138684,+/- 13027,
,,,,    Public transportation (excluding taxicab),272,+/- 167,2.7,  Persons 19 to 64 years,13474,+/- 900,56.4,H10. SELECTED MONTHLY OWNER COSTS,,,
,,,,    Walked to work,35,+/- 28,0.3,    With a disability,1301,+/- 337,9.7,Universe: Owner-occupied units,,,
,,,,    Other means of commuting,153,+/- 94,1.5,  Persons 65 years and over,1043,+/- 193,4.4,Owner-occupied units,3847,+/- 355,
,,,,  Worked at home,238,+/- 116,2.4,    With a disability,419,+/- 120,40.2,  Housing units with a mortgage,2345,+/- 307,61
,,,,Mean travel time to work in minutes,28.7,+/- 1.4,,S11. RESIDENCE 1 YEAR AGO,,,,    Owner costs 30% or more of HH income,797,+/- 225,34
,,,,E8. WORKERS BY OCCUPATION,,,,Universe: Population 1 year and over,,,,    Median owner costs,1240,+/- 59,
,,,,Universe: Civilian employed population 16 years and over,,,,Population 1 year and over,24457,+/- 1584,,  Housing units without a mortgage,1502,+/- 259,39
,,,,Civilian employed population 16 years and over,10146,+/- 802,,  Same house,21103,+/- 1577,86.3,    Nonmortgage owner costs 30% or more of HH income,182,+/- 99,12.1
,,,,"  Management, business, science, and arts occupations",1831,+/- 247,18,  Different house in the U.S.,3314,+/- 693,13.6,    Median owner costs,506,+/- 45,
,,,,  Service occupations,2421,+/- 452,23.9,    Same county,2380,+/- 651,71.8,H11. GROSS RENT,,,
,,,,  Sales and office occupations,2013,+/- 375,19.8,    Different county (any),934,+/- 88,28.2,Universe: Renter-occupied units,,,
,,,,"  Farming, fishing, and forestry occupations",22,+/- 430,0.2,    Different county (same state),821,+/- 267,24.8,Renter-occupied units,2513,+/- 275,
,,,,"  Construction, extraction, installation, maintenance, and repair occupations",2528,+/- 429,24.9,    Different state,113,+/- 64,3.4,  Paying cash rent,2448,+/- 270,97.4
,,,,"  Production, transportation, and material moving occupations",1331,+/- 308,13.1,  Lived abroad 1 year ago,40,+/- 41,0.2,  Paying no cash rent,65,+/- 50,2.6
,,,,E9. WORKERS BY INDUSTRY,,,,S12. PLACE OF BIRTH AND CITIZENSHIP STATUS,,,,  Median rent,1091,+/- 61,
,,,,Universe: Civilian employed population 16 years and over,,,,Universe: Total population,,,,  Average gross rent,1116,+/- 54,
,,,,Civilian employed population 16 years and over,10146,+/- 802,,Total population,24833,+/- 1561,,  Gross rent 30% or more of HH income,1569,+/- 294,62.4
,,,,"  Agriculture, forestry, fishing and hunting, and mining",17,+/- 37,0.2,  U.S. native,18212,+/- 1308,73.3,  Gross rent of $750 or more,2263,+/- 390,90.1
,,,,  Construction,2290,+/- 403,22.6,    Born in United States,17873,+/- 1346,98.1,,,,
,,,,  Manufacturing,578,+/- 183,5.7,      Born in state of current residence,15557,+/- 1289,87,,,,
,,,,  Wholesale trade,166,+/- 130,1.6,      Born in different state than current residence,2316,+/- 386,13,,,,
,,,,  Retail trade,839,+/- 223,8.3,"    Born in Puerto Rico, U.S. Island areas, or born abroad to American parents",339,+/- 219,1.9,,,,
,,,,"  Transportation and warehousing, and utilities",592,+/- 175,5.8,  Foreign born,6621,+/- 761,26.7,,,,
,,,,  Information,137,+/- 97,1.4,    Naturalized U.S. citizen,972,+/- 314,14.7,,,,
,,,,"  Finance and insurance, and real estate and rental and leasing",349,+/- 128,3.4,    Not a U.S. citizen,5649,+/- 711,85.3,,,,
,,,,"  Professional, scientific, management, and administrative",1088,+/- 283,10.7,S13. YEAR OF ENTRY,,,,,,,
,,,,"  Educational services, and health care and social assistance",2163,+/- 384,21.3,Universe: Population born outside the United States,,,,,,,
,,,,"  Arts, entertainment, and recreation, and accommodation and food services",921,+/- 246,9.1,Population born outside the United States,6960,+/- 775,28,,,,
,,,,"  Other services, except public administration",539,+/- 244,5.3,"  Native, born outside U.S.",339,+/- 203,4.9,,,,
,,,,  Public administration,467,+/- 161,4.6,    Entered U.S. 2000 or later,527,+/- 178,155.5,,,,
,,,,E10. CLASS OF WORKER,,,,    Entered U.S. before 2000,98,+/- 60,28.9,,,,
,,,,Universe: Civilian employed population 16 years and over,,,,  Foreign born,6621,+/- 761,26.7,,,,
,,,,Civilian employed population 16 years and over,10146,+/- 802,,    Entered U.S. 2000 or later,3178,+/- 510,48,,,,
,,,,  Private wage and salary workers,8284,+/- 639,81.6,    Entered U.S. before 2000,3443,+/- 615,52,,,,
,,,,  Government workers,1276,+/- 256,12.6,S14. WORLD REGION OF BIRTH OF FOREIGN BORN,,,,,,,
,,,,  Self-employed workers in own not incorporated business,575,+/- 186,5.7,"Universe: Foreign-born population, excluding population born at sea",,,,,,,
,,,,  Unpaid family workers,11,+/- 32,0.1,"Foreign-born population, excluding population born at sea",6621,+/- 761,26.7,,,,
,,,,E11. INSURANCE COVERAGE,,,,  Europe,61,+/- 65,0.9,,,,
,,,,Universe: Civilian noninstitutionalized population,,,,  Asia,47,+/- 48,0.7,,,,
,,,,Civilian noninstitutionalized persons,23891,+/- 1535,,  Africa,118,+/- 181,1.8,,,,
,,,,  Under 65 years of age,22848,+/- 1269,95.6,  Oceania,-,,,,,,
,,,,    Without insurance coverage,7565,+/- 898,33.1,  South and Central America (includes Mexico),6395,+/- 741,96.6,,,,
,,,,    With public insurance,7163,+/- 878,31.4,  Northern America,-,,,,,,
,,,,    With private insurance,8459,+/- 919,37,S15. LANGUAGE SPOKEN AT HOME,,,,,,,
,,,,  Under 19 years of age,9374,+/- 895,39.2,Universe: Population 5 years and over,,,,,,,
,,,,    Without insurance coverage,1707,+/- 468,18.2,Population 5 years and over,-,,,,,,
,,,,,,,,  English only,9494,+/- 1013,,,,,
,,,,,,,,  Language other than English,12828,+/- 1189,,,,,
,,,,,,,,"    Speaks English less than ""very well""",6249,+/- 730,48.7,,,,
,,,,,,,,  Speak Spanish,12658,+/- 1174,,,,,
,,,,,,,,"    Speaks English less than ""very well""",6231,+/- 729,49.2,,,,
,,,,,,,,S16. COMPUTER OWNERSHIP AND INTERNET USE,,,,,,,
,,,,,,,,Universe: Total households,,,,,,,
,,,,,,,,Total households,6360,+/- 312,,,,,
,,,,,,,,  Households with no computer,655,+/- 170,10.3,,,,
,,,,,,,,  Households with a computer,5705,+/- 323,89.7,,,,
,,,,,,,,    With a dial-up internet subscription alone,24,+/- 22,0.4,,,,
,,,,,,,,    With a broadband internet subscription,4465,+/- 345,78.3,,,,
,,,,,,,,    No internet subscription,1216,+/- 258,21.3,,,,
