"ACS Profile Report, 2013-2017: Demographic",,,,"ACS Profile Report, 2013-2017: Economic",,,,"ACS Profile Report, 2013-2017: Social",,,,"ACS Profile Report, 2013-2017: Housing",,,
ZCTA5 78725 (86000US78725),,,,ZCTA5 78725 (86000US78725),,,,ZCTA5 78725 (86000US78725),,,,ZCTA5 78725 (86000US78725),,,
,,,,,,,,,,,,,,,
Subject,ZCTA5 78725,,,Subject,ZCTA5 78725,,,Subject,ZCTA5 78725,,,Subject,ZCTA5 78725,,
  American Indian (alone or in combination),111,+/- 142,1.5,All full-time workers,3292,+/- 470,,Unmarried women 15 to 50 years old,844,+/- 461,48.2,  Moved in 2010 or later,1199,+/- 214,47.1
  Asian (alone or in combination),111,+/- 90,1.5,  All male full-time workers,1837,+/- 364,55.8,Women 15 to 50 years old who had a birth in the past 12 months,-,,,  Moved in 2000 to 2009,947,+/- 248,37.2
  Native Hawaiian (alone or in combination),-,,,  All female full-time workers,1455,+/- 298,44.2,  Unmarried women who gave birth,-,,,  Moved in 1990 to 1999,89,+/- 76,3.5
  Some other race (alone or in combination),1322,+/- 821,17.6,Median earnings for workers,28896,+/- 3441,,  Women 15 to 19 years of age,-,,,  Moved in 1980 to 1989,191,+/- 118,7.5
D4. HISPANIC OR LATINO (ANY RACE),,,,"Median earnings for male full-time, year-round workers",36458,+/- 10052,,  Women 20 to 34 years of age,-,,,  Moved in 1979 or earlier,118,+/- 83,4.6
Universe: Total population,,,,"Median earnings for female full-time, year-round workers",33954,+/- 10175,,  Women 35 to 50 years of age,-,,,H5. VEHICLES AVAILABLE,,,
Total population,7517,+/- 1240,,E4. POVERTY STATUS OVER THE LAST 12 MONTHS,,,,"  Per 1,000 unmarried women",-,,,Universe: Occupied housing units,,,
  Hispanic or Latino of any race,3755,+/- 1226,50,Universe: Persons for whom poverty status is determined,,,,"  Per 1,000 women 15 to 50 years old",-,,,Occupied housing units,2544,+/- 218,
  Not Hispanic or Latino,3762,+/- 642,50,Persons for whom poverty status is determined,7481,+/- 1228,,"  Per 1,000 women 15 to 19 years old",-,,,  No vehicles available,-,,
    White alone,1628,+/- 426,21.7,  Persons below poverty,1354,+/- 1022,18.1,"  Per 1,000 women 20 to 34 years old",-,,,  1 vehicle available,688,+/- 203,27
    Black or African American alone,1831,+/- 544,24.4,  Poverty ratio under 0.5,656,+/- 549,8.8,"  Per 1,000 women 35 to 50 years old",-,,,  2 vehicles available,1277,+/- 285,50.2
    American Indian and Alaska Native alone,-,,,  Poverty ratio in 0.5 to 0.99,698,+/- 654,9.3,S6. GRANDPARENTS AS CAREGIVERS,,,,  3 or more vehicles available,579,+/- 230,22.8
    Asian alone,88,+/- 61,1.2,  Poverty ratio in 1 to 2,1916,+/- 824,25.6,Universe: Population 30 years and over,,,,H6. HOUSE HEATING FUEL,,,
    Native Hawaiian and Other Pacific Islander alone,-,,,  Poverty ratio in 2 and over,4211,+/- 761,56.3,Grandparents living with own grandchildren under 18 years,265,+/- 205,,Universe: Occupied housing units,,,
,,,,Persons under 18 for whom poverty status is determined,1892,+/- 461,,  Grandparents responsible for grandchildren,50,+/- 54,18.9,Occupied housing units,2544,+/- 218,
,,,,  Persons under 18 in poverty,689,+/- 306,36.4,    Less than 1 year,-,,,  Utility gas,1420,+/- 219,55.8
,,,,Persons aged 18 to 64 for whom poverty status is determined,5153,+/- 639,,    1 or 2 years,19,+/- 34,38,"  Bottled, tank, or LP gas",256,+/- 112,10.1
,,,,  Persons aged 18 to 64 in poverty,608,+/- 260,11.8,    3 or 4 years,-,,,  Electricity,868,+/- 199,34.1
,,,,Persons over 65 for whom poverty status is determined,436,+/- 136,,    5 or more years,31,+/- 46,62,"  Fuel oil, kerosene, etc.",-,,
,,,,  Persons over 65 in poverty,57,+/- 65,13.1,S7. SCHOOL ENROLLMENT,,,,  Coal or coke,-,,
,,,,Persons in families for whom poverty status is determined,6030,+/- 1352,,Universe: Population 3 years and over,,,,  Wood,-,,
,,,,Unrelated individuals for whom poverty status is determined,1451,+/- 416,,Population 3 years and over,7317,+/- 1176,,  Solar energy,-,,
,,,,  Persons in families in poverty,1120,+/- 1038,18.6,Population 3 years and over enrolled in school,2253,+/- 537,30.8,  Other fuel,-,,
,,,,Family households in poverty,198,+/- 143,11.6,"  In nursery school, preschool",212,+/- 132,9.4,  No fuel used,-,,
,,,,  Unrelated persons in poverty 15 years and over,234,+/- 148,16.1,  In kindergarten,113,+/- 99,5,H7. SELECTED CHARACTERISTICS,,,
,,,,E5. EMPLOYMENT STATUS,,,,"  In elementary school, grades 1-8",1036,+/- 324,46,Universe: Occupied housing units,,,
,,,,Universe: Population 16 years and over,,,,"  In high school, grades 9-12",327,+/- 202,14.5,Occupied housing units,2544,+/- 218,
,,,,Population 16 years and over,5688,+/- 782,,  In college or graduate school,565,+/- 228,25.1,  Lacking complete plumbing facilities,11,+/- 27,0.4
,,,,  In labor force,4405,+/- 684,77.4,S8. EDUCATIONAL ATTAINMENT,,,,  Lacking complete kitchen facilities,-,,
,,,,  Civilian labor force,4405,+/- 684,77.4,Universe: Population 25 years and over,,,,  No telephone service available,55,+/- 65,2.2
,,,,    Employed civilians,4232,+/- 642,96.1,Population 25 years and over,5113,+/- 660,,H8. OCCUPANTS PER ROOM,,,
,,,,    Unemployed civilians,173,+/- 125,3.9,  Less than 9th grade,414,+/- 206,8.1,Universe: Occupied housing units,,,
,,,,  In military,-,,,"  9th to 12th grade, no diploma",753,+/- 285,14.7,Occupied housing units,2544,+/- 218,
,,,,  Not in labor force,1283,+/- 338,22.6,  High school graduate (includes equivalency),1718,+/- 490,33.6,  1.00 or less,2398,+/- 348,94.3
,,,,  Females 16 years and over,2583,+/- 414,45.4,"  Some college, no degree",1194,+/- 345,23.4,  1.01 to 1.50,132,+/- 106,5.2
,,,,  Females in labor force,1860,+/- 363,32.7,  Associates degree,208,+/- 108,4.1,  1.51 or more,14,+/- 40,0.6
,,,,  Females in civilian labor force,1860,+/- 363,32.7,  Bachelors degree,493,+/- 179,9.6,H9. HOME VALUES,,,
,,,,    Employed females,1842,+/- 360,99,  Graduate or professional degree,333,+/- 141,6.5,Universe: Owner-occupied units,,,
,,,,E6. CHILDREN WITH ALL PARENTS WORKING,,,,High school graduate or higher,3946,+/- 646,77.2,Owner-occupied units,2033,+/- 256,
,,,,Universe: Own children under 18 years in families and subfamilies,,,,Bachelor degree or higher,826,+/- 228,16.2,"  Less than $50,000",170,+/- 120,8.4
,,,,(Own) children under 6,523,+/- 238,,S9. VETERAN STATUS,,,,"  $50,000 to $99,999",189,+/- 98,9.3
,,,,  All parents working,273,+/- 156,52.2,Universe: Civilian population 18 years and over,,,,"  $100,000 to $149,999",820,+/- 248,40.3
,,,,(Own) children aged 6 to 17,1197,+/- 482,,Civilian population 18 years and over,5589,+/- 736,100,"  $150,000 to $199,999",556,+/- 196,27.3
,,,,  All parents working,938,+/- 488,78.4,  Civilian veterans,519,+/- 247,9.3,"  $200,000 to $299,999",224,+/- 134,11
,,,,E7. COMMUTING TO WORK,,,,S10a. DISABLED BY AGE,,,,"  $300,000 to $499,999",74,+/- 40,3.6
,,,,Universe: Workers 16 years and over,,,,Universe: Civilian noninstitutionalized population ,,,,"  $500,000 to $999,999",-,,
,,,,Workers 16 years and over,4217,+/- 640,,Civilian noninstitutionalized persons,7517,+/- 1240,,"  $1,000,000 or more",-,,
,,,,  Workers 16+ who commute to work,4120,+/- 636,97.7,    With a disability,594,+/- 212,7.9,"  $2,000,000 or more",-,,
,,,,"    Car, truck, or van; drove alone",3562,+/- 546,84.5,  Persons 18 and under,1991,+/- 676,26.5,  Median home value,137800,+/- 16523,
,,,,"    Car, truck, or van; carpooled",530,+/- 322,12.6,    With a disability,53,+/- 72,2.7,  Average home value,139626,+/- 10462,
,,,,    Public transportation (excluding taxicab),-,,,  Persons 19 to 64 years,5090,+/- 723,67.7,H10. SELECTED MONTHLY OWNER COSTS,,,
,,,,    Walked to work,10,+/- 16,0.2,    With a disability,408,+/- 179,8,Universe: Owner-occupied units,,,
,,,,    Other means of commuting,18,+/- 49,0.4,  Persons 65 years and over,436,+/- 121,5.8,Owner-occupied units,2033,+/- 256,
,,,,  Worked at home,97,+/- 78,2.3,    With a disability,133,+/- 89,30.5,  Housing units with a mortgage,1541,+/- 280,75.8
,,,,Mean travel time to work in minutes,33.1,+/- 5.1,,S11. RESIDENCE 1 YEAR AGO,,,,    Owner costs 30% or more of HH income,315,+/- 155,20.4
,,,,E8. WORKERS BY OCCUPATION,,,,Universe: Population 1 year and over,,,,    Median owner costs,1192,+/- 81,
,,,,Universe: Civilian employed population 16 years and over,,,,Population 1 year and over,7517,+/- 1240,,  Housing units without a mortgage,492,+/- 166,24.2
,,,,Civilian employed population 16 years and over,4232,+/- 642,,  Same house,7188,+/- 1237,95.6,    Nonmortgage owner costs 30% or more of HH income,37,+/- 47,7.5
,,,,"  Management, business, science, and arts occupations",992,+/- 271,23.4,  Different house in the U.S.,329,+/- 184,4.4,    Median owner costs,444,+/- 65,
,,,,  Service occupations,686,+/- 286,16.2,    Same county,189,+/- 115,57.4,H11. GROSS RENT,,,
,,,,  Sales and office occupations,1264,+/- 314,29.9,    Different county (any),140,+/- 27,42.6,Universe: Renter-occupied units,,,
,,,,"  Farming, fishing, and forestry occupations",23,+/- 262,0.5,    Different county (same state),83,+/- 106,25.2,Renter-occupied units,511,+/- 185,
,,,,"  Construction, extraction, installation, maintenance, and repair occupations",520,+/- 264,12.3,    Different state,57,+/- 87,17.3,  Paying cash rent,473,+/- 177,92.6
,,,,"  Production, transportation, and material moving occupations",747,+/- 304,17.7,  Lived abroad 1 year ago,-,,,  Paying no cash rent,38,+/- 56,7.4
,,,,E9. WORKERS BY INDUSTRY,,,,S12. PLACE OF BIRTH AND CITIZENSHIP STATUS,,,,  Median rent,1338,+/- 104,
,,,,Universe: Civilian employed population 16 years and over,,,,Universe: Total population,,,,  Average gross rent,1347,+/- 116,
,,,,Civilian employed population 16 years and over,4232,+/- 642,,Total population,7517,+/- 1240,,  Gross rent 30% or more of HH income,275,+/- 146,53.8
,,,,"  Agriculture, forestry, fishing and hunting, and mining",37,+/- 62,0.9,  U.S. native,6310,+/- 929,83.9,  Gross rent of $750 or more,419,+/- 188,82
,,,,  Construction,304,+/- 187,7.2,    Born in United States,6050,+/- 849,95.9,,,,
,,,,  Manufacturing,293,+/- 183,6.9,      Born in state of current residence,4491,+/- 756,74.2,,,,
,,,,  Wholesale trade,215,+/- 161,5.1,      Born in different state than current residence,1559,+/- 386,25.8,,,,
,,,,  Retail trade,502,+/- 242,11.9,"    Born in Puerto Rico, U.S. Island areas, or born abroad to American parents",260,+/- 355,4.1,,,,
,,,,"  Transportation and warehousing, and utilities",354,+/- 180,8.4,  Foreign born,1207,+/- 583,16.1,,,,
,,,,  Information,283,+/- 155,6.7,    Naturalized U.S. citizen,222,+/- 133,18.4,,,,
,,,,"  Finance and insurance, and real estate and rental and leasing",221,+/- 123,5.2,    Not a U.S. citizen,985,+/- 585,81.6,,,,
,,,,"  Professional, scientific, management, and administrative",309,+/- 191,7.3,S13. YEAR OF ENTRY,,,,,,,
,,,,"  Educational services, and health care and social assistance",854,+/- 291,20.2,Universe: Population born outside the United States,,,,,,,
,,,,"  Arts, entertainment, and recreation, and accommodation and food services",329,+/- 178,7.8,Population born outside the United States,1467,+/- 660,19.5,,,,
,,,,"  Other services, except public administration",268,+/- 186,6.3,"  Native, born outside U.S.",260,+/- 296,17.7,,,,
,,,,  Public administration,263,+/- 134,6.2,    Entered U.S. 2000 or later,385,+/- 421,148.1,,,,
,,,,E10. CLASS OF WORKER,,,,    Entered U.S. before 2000,42,+/- 53,16.2,,,,
,,,,Universe: Civilian employed population 16 years and over,,,,  Foreign born,1207,+/- 583,16.1,,,,
,,,,Civilian employed population 16 years and over,4232,+/- 642,,    Entered U.S. 2000 or later,593,+/- 452,49.1,,,,
,,,,  Private wage and salary workers,3540,+/- 559,83.6,    Entered U.S. before 2000,614,+/- 238,50.9,,,,
,,,,  Government workers,627,+/- 229,14.8,S14. WORLD REGION OF BIRTH OF FOREIGN BORN,,,,,,,
,,,,  Self-employed workers in own not incorporated business,65,+/- 68,1.5,"Universe: Foreign-born population, excluding population born at sea",,,,,,,
,,,,  Unpaid family workers,-,,,"Foreign-born population, excluding population born at sea",1207,+/- 583,16.1,,,,
,,,,E11. INSURANCE COVERAGE,,,,  Europe,41,+/- 38,3.4,,,,
,,,,Universe: Civilian noninstitutionalized population,,,,  Asia,58,+/- 50,4.8,,,,
,,,,Civilian noninstitutionalized persons,7517,+/- 1240,,  Africa,-,,,,,,
,,,,  Under 65 years of age,7081,+/- 990,94.2,  Oceania,-,,,,,,
,,,,    Without insurance coverage,1557,+/- 475,22,  South and Central America (includes Mexico),1108,+/- 587,91.8,,,,
,,,,    With public insurance,1347,+/- 427,19,  Northern America,-,,,,,,
,,,,    With private insurance,4335,+/- 704,61.2,S15. LANGUAGE SPOKEN AT HOME,,,,,,,
,,,,  Under 19 years of age,1991,+/- 676,26.5,Universe: Population 5 years and over,,,,,,,
,,,,    Without insurance coverage,310,+/- 224,15.6,Population 5 years and over,-,,,,,,
,,,,,,,,  English only,4043,+/- 670,,,,,
,,,,,,,,  Language other than English,3030,+/- 1035,,,,,
,,,,,,,,"    Speaks English less than ""very well""",1179,+/- 616,38.9,,,,
,,,,,,,,  Speak Spanish,2905,+/- 1032,,,,,
,,,,,,,,"    Speaks English less than ""very well""",1155,+/- 615,39.8,,,,
,,,,,,,,S16. COMPUTER OWNERSHIP AND INTERNET USE,,,,,,,
,,,,,,,,Universe: Total households,,,,,,,
,,,,,,,,Total households,2544,+/- 218,,,,,
,,,,,,,,  Households with no computer,184,+/- 105,7.2,,,,
,,,,,,,,  Households with a computer,2360,+/- 245,92.8,,,,
,,,,,,,,    With a dial-up internet subscription alone,-,,,,,,
,,,,,,,,    With a broadband internet subscription,2194,+/- 238,93,,,,
,,,,,,,,    No internet subscription,166,+/- 83,7,,,,
