"ACS Profile Report, 2013-2017: Demographic",,,,"ACS Profile Report, 2013-2017: Economic",,,,"ACS Profile Report, 2013-2017: Social",,,,"ACS Profile Report, 2013-2017: Housing",,,
ZCTA5 78751 (86000US78751),,,,ZCTA5 78751 (86000US78751),,,,ZCTA5 78751 (86000US78751),,,,ZCTA5 78751 (86000US78751),,,
,,,,,,,,,,,,,,,
Subject,ZCTA5 78751,,,Subject,ZCTA5 78751,,,Subject,ZCTA5 78751,,,Subject,ZCTA5 78751,,
  Black (alone or in combination),464,+/- 194,3.1,  Mean nonfamily income,59775,+/- 6221,,Women 15 to 50 years old,5467,+/- 473,,Occupied housing units,7463,+/- 287,
  American Indian (alone or in combination),181,+/- 90,1.2,All full-time workers,6912,+/- 544,,Unmarried women 15 to 50 years old,3909,+/- 665,71.5,  Moved in 2010 or later,5331,+/- 401,71.4
  Asian (alone or in combination),1268,+/- 301,8.5,  All male full-time workers,4091,+/- 436,59.2,Women 15 to 50 years old who had a birth in the past 12 months,162,+/- 71,3,  Moved in 2000 to 2009,1202,+/- 190,16.1
  Native Hawaiian (alone or in combination),32,+/- 37,0.2,  All female full-time workers,2821,+/- 326,40.8,  Unmarried women who gave birth,5,+/- 8,3.1,  Moved in 1990 to 1999,450,+/- 107,6
  Some other race (alone or in combination),656,+/- 235,4.4,Median earnings for workers,35672,+/- 1516,,  Women 15 to 19 years of age,-,,,  Moved in 1980 to 1989,351,+/- 119,4.7
D4. HISPANIC OR LATINO (ANY RACE),,,,"Median earnings for male full-time, year-round workers",51558,+/- 4479,,  Women 20 to 34 years of age,80,+/- 55,49.4,  Moved in 1979 or earlier,129,+/- 56,1.7
Universe: Total population,,,,"Median earnings for female full-time, year-round workers",44355,+/- 3666,,  Women 35 to 50 years of age,82,+/- 57,50.6,H5. VEHICLES AVAILABLE,,,
Total population,14949,+/- 819,,E4. POVERTY STATUS OVER THE LAST 12 MONTHS,,,,"  Per 1,000 unmarried women",1,,,Universe: Occupied housing units,,,
  Hispanic or Latino of any race,2616,+/- 425,17.5,Universe: Persons for whom poverty status is determined,,,,"  Per 1,000 women 15 to 50 years old",30,+/- 10,,Occupied housing units,7463,+/- 287,
  Not Hispanic or Latino,12333,+/- 657,82.5,Persons for whom poverty status is determined,14935,+/- 820,,"  Per 1,000 women 15 to 19 years old",-,,,  No vehicles available,672,+/- 167,9
    White alone,10528,+/- 608,70.4,  Persons below poverty,2906,+/- 458,19.5,"  Per 1,000 women 20 to 34 years old",20,+/- 10,,  1 vehicle available,3716,+/- 327,49.8
    Black or African American alone,346,+/- 172,2.3,  Poverty ratio under 0.5,1825,+/- 339,12.2,"  Per 1,000 women 35 to 50 years old",62,+/- 40,,  2 vehicles available,2476,+/- 287,33.2
    American Indian and Alaska Native alone,76,+/- 58,0.5,  Poverty ratio in 0.5 to 0.99,1081,+/- 243,7.2,S6. GRANDPARENTS AS CAREGIVERS,,,,  3 or more vehicles available,599,+/- 140,8
    Asian alone,989,+/- 278,6.6,  Poverty ratio in 1 to 2,1879,+/- 322,12.6,Universe: Population 30 years and over,,,,H6. HOUSE HEATING FUEL,,,
    Native Hawaiian and Other Pacific Islander alone,17,+/- 29,0.1,  Poverty ratio in 2 and over,10150,+/- 610,68,Grandparents living with own grandchildren under 18 years,36,+/- 41,,Universe: Occupied housing units,,,
,,,,Persons under 18 for whom poverty status is determined,1414,+/- 240,,  Grandparents responsible for grandchildren,-,,,Occupied housing units,7463,+/- 287,
,,,,  Persons under 18 in poverty,84,+/- 85,5.9,    Less than 1 year,-,,,  Utility gas,3696,+/- 302,49.5
,,,,Persons aged 18 to 64 for whom poverty status is determined,12672,+/- 776,,    1 or 2 years,-,,,"  Bottled, tank, or LP gas",138,+/- 74,1.8
,,,,  Persons aged 18 to 64 in poverty,2756,+/- 435,21.7,    3 or 4 years,-,,,  Electricity,3443,+/- 302,46.1
,,,,Persons over 65 for whom poverty status is determined,849,+/- 166,,    5 or more years,-,,,"  Fuel oil, kerosene, etc.",6,+/- 10,0.1
,,,,  Persons over 65 in poverty,66,+/- 65,7.8,S7. SCHOOL ENROLLMENT,,,,  Coal or coke,-,,
,,,,Persons in families for whom poverty status is determined,6057,+/- 744,,Universe: Population 3 years and over,,,,  Wood,-,,
,,,,Unrelated individuals for whom poverty status is determined,8878,+/- 834,,Population 3 years and over,14491,+/- 824,,  Solar energy,-,,
,,,,  Persons in families in poverty,307,+/- 211,5.1,Population 3 years and over enrolled in school,4698,+/- 536,32.4,  Other fuel,54,+/- 52,0.7
,,,,Family households in poverty,113,+/- 68,5.2,"  In nursery school, preschool",179,+/- 75,3.8,  No fuel used,126,+/- 61,1.7
,,,,  Unrelated persons in poverty 15 years and over,2599,+/- 414,29.3,  In kindergarten,-,,,H7. SELECTED CHARACTERISTICS,,,
,,,,E5. EMPLOYMENT STATUS,,,,"  In elementary school, grades 1-8",553,+/- 143,11.8,Universe: Occupied housing units,,,
,,,,Universe: Population 16 years and over,,,,"  In high school, grades 9-12",177,+/- 74,3.8,Occupied housing units,7463,+/- 287,
,,,,Population 16 years and over,13603,+/- 783,,  In college or graduate school,3789,+/- 540,80.7,  Lacking complete plumbing facilities,71,+/- 85,1
,,,,  In labor force,10849,+/- 698,79.8,S8. EDUCATIONAL ATTAINMENT,,,,  Lacking complete kitchen facilities,85,+/- 62,1.1
,,,,  Civilian labor force,10836,+/- 702,79.7,Universe: Population 25 years and over,,,,  No telephone service available,204,+/- 68,2.7
,,,,    Employed civilians,10305,+/- 665,95.1,Population 25 years and over,10928,+/- 678,,H8. OCCUPANTS PER ROOM,,,
,,,,    Unemployed civilians,531,+/- 191,4.9,  Less than 9th grade,183,+/- 101,1.7,Universe: Occupied housing units,,,
,,,,  In military,13,+/- 17,0.1,"  9th to 12th grade, no diploma",203,+/- 114,1.9,Occupied housing units,7463,+/- 287,
,,,,  Not in labor force,2754,+/- 327,20.2,  High school graduate (includes equivalency),1055,+/- 287,9.7,  1.00 or less,7334,+/- 471,98.3
,,,,  Females 16 years and over,6445,+/- 480,47.4,"  Some college, no degree",1268,+/- 227,11.6,  1.01 to 1.50,6,+/- 23,0.1
,,,,  Females in labor force,4814,+/- 422,35.4,  Associates degree,394,+/- 128,3.6,  1.51 or more,123,+/- 71,1.6
,,,,  Females in civilian labor force,4809,+/- 422,35.4,  Bachelors degree,4728,+/- 386,43.3,H9. HOME VALUES,,,
,,,,    Employed females,4590,+/- 415,95.4,  Graduate or professional degree,3097,+/- 364,28.3,Universe: Owner-occupied units,,,
,,,,E6. CHILDREN WITH ALL PARENTS WORKING,,,,High school graduate or higher,10542,+/- 683,96.5,Owner-occupied units,2229,+/- 220,
,,,,Universe: Own children under 18 years in families and subfamilies,,,,Bachelor degree or higher,7825,+/- 530,71.6,"  Less than $50,000",27,+/- 48,1.2
,,,,(Own) children under 6,713,+/- 159,,S9. VETERAN STATUS,,,,"  $50,000 to $99,999",24,+/- 46,1.1
,,,,  All parents working,447,+/- 164,62.7,Universe: Civilian population 18 years and over,,,,"  $100,000 to $149,999",65,+/- 44,2.9
,,,,(Own) children aged 6 to 17,701,+/- 154,,Civilian population 18 years and over,13510,+/- 783,99.9,"  $150,000 to $199,999",87,+/- 62,3.9
,,,,  All parents working,482,+/- 154,68.8,  Civilian veterans,455,+/- 135,3.4,"  $200,000 to $299,999",382,+/- 109,17.1
,,,,E7. COMMUTING TO WORK,,,,S10a. DISABLED BY AGE,,,,"  $300,000 to $499,999",861,+/- 160,38.6
,,,,Universe: Workers 16 years and over,,,,Universe: Civilian noninstitutionalized population ,,,,"  $500,000 to $999,999",753,+/- 174,33.8
,,,,Workers 16 years and over,10035,+/- 662,,Civilian noninstitutionalized persons,14922,+/- 821,,"  $1,000,000 or more",19,+/- 22,0.9
,,,,  Workers 16+ who commute to work,9040,+/- 683,90.1,    With a disability,1125,+/- 206,7.5,"  $2,000,000 or more",11,+/- 18,0.5
,,,,"    Car, truck, or van; drove alone",5955,+/- 509,59.3,  Persons 18 and under,1423,+/- 199,9.5,  Median home value,395200,+/- 34061,
,,,,"    Car, truck, or van; carpooled",685,+/- 173,6.8,    With a disability,95,+/- 64,6.7,  Average home value,447578,+/- 40689,
,,,,    Public transportation (excluding taxicab),1509,+/- 302,15,  Persons 19 to 64 years,12650,+/- 773,84.8,H10. SELECTED MONTHLY OWNER COSTS,,,
,,,,    Walked to work,157,+/- 80,1.6,    With a disability,784,+/- 182,6.2,Universe: Owner-occupied units,,,
,,,,    Other means of commuting,734,+/- 208,7.3,  Persons 65 years and over,849,+/- 178,5.7,Owner-occupied units,2229,+/- 220,
,,,,  Worked at home,995,+/- 220,9.9,    With a disability,246,+/- 73,29,  Housing units with a mortgage,1496,+/- 209,67.1
,,,,Mean travel time to work in minutes,19.3,+/- 1,,S11. RESIDENCE 1 YEAR AGO,,,,    Owner costs 30% or more of HH income,460,+/- 151,30.7
,,,,E8. WORKERS BY OCCUPATION,,,,Universe: Population 1 year and over,,,,    Median owner costs,2482,+/- 198,
,,,,Universe: Civilian employed population 16 years and over,,,,Population 1 year and over,14780,+/- 812,,  Housing units without a mortgage,733,+/- 126,32.9
,,,,Civilian employed population 16 years and over,10305,+/- 665,,  Same house,9961,+/- 706,67.4,    Nonmortgage owner costs 30% or more of HH income,118,+/- 79,16.1
,,,,"  Management, business, science, and arts occupations",6621,+/- 510,64.3,  Different house in the U.S.,4538,+/- 536,30.7,    Median owner costs,692,+/- 82,
,,,,  Service occupations,1081,+/- 215,10.5,    Same county,3000,+/- 548,66.1,H11. GROSS RENT,,,
,,,,  Sales and office occupations,2052,+/- 338,19.9,    Different county (any),1538,+/- 27,33.9,Universe: Renter-occupied units,,,
,,,,"  Farming, fishing, and forestry occupations",-,,,    Different county (same state),710,+/- 234,15.6,Renter-occupied units,5234,+/- 298,
,,,,"  Construction, extraction, installation, maintenance, and repair occupations",266,+/- 110,2.6,    Different state,828,+/- 204,18.2,  Paying cash rent,5150,+/- 292,98.4
,,,,"  Production, transportation, and material moving occupations",285,+/- 117,2.8,  Lived abroad 1 year ago,281,+/- 163,1.9,  Paying no cash rent,84,+/- 53,1.6
,,,,E9. WORKERS BY INDUSTRY,,,,S12. PLACE OF BIRTH AND CITIZENSHIP STATUS,,,,  Median rent,1200,+/- 57,
,,,,Universe: Civilian employed population 16 years and over,,,,Universe: Total population,,,,  Average gross rent,1323,+/- 27,
,,,,Civilian employed population 16 years and over,10305,+/- 665,,Total population,14949,+/- 819,,  Gross rent 30% or more of HH income,2537,+/- 291,48.5
,,,,"  Agriculture, forestry, fishing and hunting, and mining",58,+/- 50,0.6,  U.S. native,13394,+/- 870,89.6,  Gross rent of $750 or more,4439,+/- 392,84.8
,,,,  Construction,218,+/- 97,2.1,    Born in United States,13125,+/- 906,98,,,,
,,,,  Manufacturing,554,+/- 168,5.4,      Born in state of current residence,7347,+/- 724,56,,,,
,,,,  Wholesale trade,269,+/- 158,2.6,      Born in different state than current residence,5778,+/- 545,44,,,,
,,,,  Retail trade,1036,+/- 205,10.1,"    Born in Puerto Rico, U.S. Island areas, or born abroad to American parents",269,+/- 158,2,,,,
,,,,"  Transportation and warehousing, and utilities",109,+/- 58,1.1,  Foreign born,1555,+/- 276,10.4,,,,
,,,,  Information,451,+/- 132,4.4,    Naturalized U.S. citizen,421,+/- 127,27.1,,,,
,,,,"  Finance and insurance, and real estate and rental and leasing",568,+/- 167,5.5,    Not a U.S. citizen,1134,+/- 243,72.9,,,,
,,,,"  Professional, scientific, management, and administrative",1849,+/- 269,17.9,S13. YEAR OF ENTRY,,,,,,,
,,,,"  Educational services, and health care and social assistance",3161,+/- 369,30.7,Universe: Population born outside the United States,,,,,,,
,,,,"  Arts, entertainment, and recreation, and accommodation and food services",1228,+/- 240,11.9,Population born outside the United States,1824,+/- 312,12.2,,,,
,,,,"  Other services, except public administration",272,+/- 80,2.6,"  Native, born outside U.S.",269,+/- 158,14.7,,,,
,,,,  Public administration,532,+/- 154,5.2,    Entered U.S. 2000 or later,775,+/- 257,288.1,,,,
,,,,E10. CLASS OF WORKER,,,,    Entered U.S. before 2000,143,+/- 65,53.2,,,,
,,,,Universe: Civilian employed population 16 years and over,,,,  Foreign born,1555,+/- 276,10.4,,,,
,,,,Civilian employed population 16 years and over,10305,+/- 665,,    Entered U.S. 2000 or later,1073,+/- 241,69,,,,
,,,,  Private wage and salary workers,7166,+/- 594,69.5,    Entered U.S. before 2000,482,+/- 156,31,,,,
,,,,  Government workers,2472,+/- 341,24,S14. WORLD REGION OF BIRTH OF FOREIGN BORN,,,,,,,
,,,,  Self-employed workers in own not incorporated business,647,+/- 173,6.3,"Universe: Foreign-born population, excluding population born at sea",,,,,,,
,,,,  Unpaid family workers,20,+/- 29,0.2,"Foreign-born population, excluding population born at sea",1555,+/- 276,10.4,,,,
,,,,E11. INSURANCE COVERAGE,,,,  Europe,322,+/- 105,20.7,,,,
,,,,Universe: Civilian noninstitutionalized population,,,,  Asia,621,+/- 192,39.9,,,,
,,,,Civilian noninstitutionalized persons,14922,+/- 821,,  Africa,92,+/- 99,5.9,,,,
,,,,  Under 65 years of age,14073,+/- 798,94.3,  Oceania,15,+/- 20,1,,,,
,,,,    Without insurance coverage,1446,+/- 377,10.3,  South and Central America (includes Mexico),446,+/- 170,28.7,,,,
,,,,    With public insurance,636,+/- 202,4.5,  Northern America,59,+/- 41,3.8,,,,
,,,,    With private insurance,12228,+/- 680,86.9,S15. LANGUAGE SPOKEN AT HOME,,,,,,,
,,,,  Under 19 years of age,1423,+/- 199,9.5,Universe: Population 5 years and over,,,,,,,
,,,,    Without insurance coverage,71,+/- 49,5,Population 5 years and over,-,,,,,,
,,,,,,,,  English only,11719,+/- 833,,,,,
,,,,,,,,  Language other than English,2602,+/- 396,,,,,
,,,,,,,,"    Speaks English less than ""very well""",410,+/- 153,15.8,,,,
,,,,,,,,  Speak Spanish,1519,+/- 304,,,,,
,,,,,,,,"    Speaks English less than ""very well""",182,+/- 95,12,,,,
,,,,,,,,S16. COMPUTER OWNERSHIP AND INTERNET USE,,,,,,,
,,,,,,,,Universe: Total households,,,,,,,
,,,,,,,,Total households,7463,+/- 287,,,,,
,,,,,,,,  Households with no computer,348,+/- 122,4.7,,,,
,,,,,,,,  Households with a computer,7115,+/- 293,95.3,,,,
,,,,,,,,    With a dial-up internet subscription alone,-,,,,,,
,,,,,,,,    With a broadband internet subscription,6612,+/- 337,92.9,,,,
,,,,,,,,    No internet subscription,503,+/- 172,7.1,,,,
