"ACS Profile Report, 2013-2017: Demographic",,,,"ACS Profile Report, 2013-2017: Economic",,,,"ACS Profile Report, 2013-2017: Social",,,,"ACS Profile Report, 2013-2017: Housing",,,
ZCTA5 78733 (86000US78733),,,,ZCTA5 78733 (86000US78733),,,,ZCTA5 78733 (86000US78733),,,,ZCTA5 78733 (86000US78733),,,
,,,,,,,,,,,,,,,
Subject,ZCTA5 78733,,,Subject,ZCTA5 78733,,,Subject,ZCTA5 78733,,,Subject,ZCTA5 78733,,
  American Indian (alone or in combination),48,+/- 65,0.5,All full-time workers,3130,+/- 246,,Unmarried women 15 to 50 years old,597,+/- 244,30.9,  Moved in 2010 or later,1018,+/- 127,34.9
  Asian (alone or in combination),1339,+/- 301,15.3,  All male full-time workers,1921,+/- 180,61.4,Women 15 to 50 years old who had a birth in the past 12 months,106,+/- 49,5.5,  Moved in 2000 to 2009,1117,+/- 169,38.3
  Native Hawaiian (alone or in combination),129,+/- 103,1.5,  All female full-time workers,1209,+/- 168,38.6,  Unmarried women who gave birth,10,+/- 15,9.4,  Moved in 1990 to 1999,569,+/- 126,19.5
  Some other race (alone or in combination),140,+/- 79,1.6,Median earnings for workers,60268,+/- 10145,,  Women 15 to 19 years of age,-,,,  Moved in 1980 to 1989,137,+/- 58,4.7
D4. HISPANIC OR LATINO (ANY RACE),,,,"Median earnings for male full-time, year-round workers",121406,+/- 10053,,  Women 20 to 34 years of age,57,+/- 36,53.8,  Moved in 1979 or earlier,79,+/- 50,2.7
Universe: Total population,,,,"Median earnings for female full-time, year-round workers",65707,+/- 24716,,  Women 35 to 50 years of age,49,+/- 37,46.2,H5. VEHICLES AVAILABLE,,,
Total population,8754,+/- 581,,E4. POVERTY STATUS OVER THE LAST 12 MONTHS,,,,"  Per 1,000 unmarried women",17,+/- 30,,Universe: Occupied housing units,,,
  Hispanic or Latino of any race,745,+/- 167,8.5,Universe: Persons for whom poverty status is determined,,,,"  Per 1,000 women 15 to 50 years old",55,+/- 30,,Occupied housing units,2920,+/- 173,
  Not Hispanic or Latino,8009,+/- 547,91.5,Persons for whom poverty status is determined,8754,+/- 581,,"  Per 1,000 women 15 to 19 years old",-,,,  No vehicles available,36,+/- 55,1.2
    White alone,6631,+/- 526,75.7,  Persons below poverty,155,+/- 83,1.8,"  Per 1,000 women 20 to 34 years old",165,+/- 110,,  1 vehicle available,524,+/- 137,17.9
    Black or African American alone,17,+/- 27,0.2,  Poverty ratio under 0.5,77,+/- 50,0.9,"  Per 1,000 women 35 to 50 years old",38,+/- 30,,  2 vehicles available,1418,+/- 187,48.6
    American Indian and Alaska Native alone,8,+/- 13,0.1,  Poverty ratio in 0.5 to 0.99,78,+/- 67,0.9,S6. GRANDPARENTS AS CAREGIVERS,,,,  3 or more vehicles available,942,+/- 149,32.3
    Asian alone,1064,+/- 280,12.2,  Poverty ratio in 1 to 2,809,+/- 259,9.2,Universe: Population 30 years and over,,,,H6. HOUSE HEATING FUEL,,,
    Native Hawaiian and Other Pacific Islander alone,9,+/- 15,0.1,  Poverty ratio in 2 and over,7790,+/- 605,89,Grandparents living with own grandchildren under 18 years,133,+/- 67,,Universe: Occupied housing units,,,
,,,,Persons under 18 for whom poverty status is determined,2753,+/- 300,,  Grandparents responsible for grandchildren,11,+/- 17,8.3,Occupied housing units,2920,+/- 173,
,,,,  Persons under 18 in poverty,7,+/- 64,0.3,    Less than 1 year,-,,,  Utility gas,378,+/- 115,12.9
,,,,Persons aged 18 to 64 for whom poverty status is determined,5264,+/- 373,,    1 or 2 years,-,,,"  Bottled, tank, or LP gas",606,+/- 115,20.8
,,,,  Persons aged 18 to 64 in poverty,105,+/- 80,2,    3 or 4 years,-,,,  Electricity,1883,+/- 176,64.5
,,,,Persons over 65 for whom poverty status is determined,737,+/- 154,,    5 or more years,11,+/- 17,100,"  Fuel oil, kerosene, etc.",-,,
,,,,  Persons over 65 in poverty,43,+/- 38,5.8,S7. SCHOOL ENROLLMENT,,,,  Coal or coke,-,,
,,,,Persons in families for whom poverty status is determined,7927,+/- 644,,Universe: Population 3 years and over,,,,  Wood,10,+/- 16,0.3
,,,,Unrelated individuals for whom poverty status is determined,827,+/- 235,,Population 3 years and over,8479,+/- 570,,  Solar energy,5,+/- 7,0.2
,,,,  Persons in families in poverty,61,+/- 69,0.8,Population 3 years and over enrolled in school,2693,+/- 285,31.8,  Other fuel,28,+/- 25,1
,,,,Family households in poverty,29,+/- 26,1.2,"  In nursery school, preschool",405,+/- 147,15,  No fuel used,10,+/- 15,0.3
,,,,  Unrelated persons in poverty 15 years and over,94,+/- 66,11.4,  In kindergarten,122,+/- 53,4.5,H7. SELECTED CHARACTERISTICS,,,
,,,,E5. EMPLOYMENT STATUS,,,,"  In elementary school, grades 1-8",1272,+/- 176,47.2,Universe: Occupied housing units,,,
,,,,Universe: Population 16 years and over,,,,"  In high school, grades 9-12",649,+/- 143,24.1,Occupied housing units,2920,+/- 173,
,,,,Population 16 years and over,6366,+/- 413,,  In college or graduate school,245,+/- 89,9.1,  Lacking complete plumbing facilities,-,,
,,,,  In labor force,4372,+/- 347,68.7,S8. EDUCATIONAL ATTAINMENT,,,,  Lacking complete kitchen facilities,-,,
,,,,  Civilian labor force,4372,+/- 347,68.7,Universe: Population 25 years and over,,,,  No telephone service available,-,,
,,,,    Employed civilians,4245,+/- 342,97.1,Population 25 years and over,5670,+/- 419,,H8. OCCUPANTS PER ROOM,,,
,,,,    Unemployed civilians,127,+/- 55,2.9,  Less than 9th grade,21,+/- 48,0.4,Universe: Occupied housing units,,,
,,,,  In military,-,,,"  9th to 12th grade, no diploma",77,+/- 63,1.4,Occupied housing units,2920,+/- 173,
,,,,  Not in labor force,1994,+/- 270,31.3,  High school graduate (includes equivalency),369,+/- 114,6.5,  1.00 or less,2899,+/- 240,99.3
,,,,  Females 16 years and over,3348,+/- 265,52.6,"  Some college, no degree",806,+/- 237,14.2,  1.01 to 1.50,21,+/- 23,0.7
,,,,  Females in labor force,2009,+/- 244,31.6,  Associates degree,275,+/- 89,4.9,  1.51 or more,-,,
,,,,  Females in civilian labor force,2009,+/- 244,31.6,  Bachelors degree,2224,+/- 262,39.2,H9. HOME VALUES,,,
,,,,    Employed females,1971,+/- 242,98.1,  Graduate or professional degree,1898,+/- 241,33.5,Universe: Owner-occupied units,,,
,,,,E6. CHILDREN WITH ALL PARENTS WORKING,,,,High school graduate or higher,5572,+/- 468,98.3,Owner-occupied units,2645,+/- 178,
,,,,Universe: Own children under 18 years in families and subfamilies,,,,Bachelor degree or higher,4122,+/- 356,72.7,"  Less than $50,000",34,+/- 50,1.3
,,,,(Own) children under 6,813,+/- 212,,S9. VETERAN STATUS,,,,"  $50,000 to $99,999",48,+/- 59,1.8
,,,,  All parents working,530,+/- 171,65.2,Universe: Civilian population 18 years and over,,,,"  $100,000 to $149,999",60,+/- 46,2.3
,,,,(Own) children aged 6 to 17,1933,+/- 223,,Civilian population 18 years and over,6001,+/- 376,100,"  $150,000 to $199,999",78,+/- 43,2.9
,,,,  All parents working,1258,+/- 213,65.1,  Civilian veterans,305,+/- 110,5.1,"  $200,000 to $299,999",193,+/- 68,7.3
,,,,E7. COMMUTING TO WORK,,,,S10a. DISABLED BY AGE,,,,"  $300,000 to $499,999",815,+/- 149,30.8
,,,,Universe: Workers 16 years and over,,,,Universe: Civilian noninstitutionalized population ,,,,"  $500,000 to $999,999",918,+/- 143,34.7
,,,,Workers 16 years and over,4211,+/- 347,,Civilian noninstitutionalized persons,8754,+/- 581,,"  $1,000,000 or more",382,+/- 109,14.4
,,,,  Workers 16+ who commute to work,3391,+/- 315,80.5,    With a disability,446,+/- 129,5.1,"  $2,000,000 or more",117,+/- 50,4.4
,,,,"    Car, truck, or van; drove alone",3057,+/- 294,72.6,  Persons 18 and under,2822,+/- 293,32.2,  Median home value,533800,+/- 40646,
,,,,"    Car, truck, or van; carpooled",271,+/- 104,6.4,    With a disability,108,+/- 84,3.8,  Average home value,729011,+/- 77697,
,,,,    Public transportation (excluding taxicab),9,+/- 15,0.2,  Persons 19 to 64 years,5195,+/- 372,59.3,H10. SELECTED MONTHLY OWNER COSTS,,,
,,,,    Walked to work,41,+/- 26,1,    With a disability,191,+/- 69,3.7,Universe: Owner-occupied units,,,
,,,,    Other means of commuting,13,+/- 37,0.3,  Persons 65 years and over,737,+/- 156,8.4,Owner-occupied units,2645,+/- 178,
,,,,  Worked at home,820,+/- 185,19.5,    With a disability,147,+/- 70,19.9,  Housing units with a mortgage,1940,+/- 171,73.3
,,,,Mean travel time to work in minutes,28.1,+/- 2,,S11. RESIDENCE 1 YEAR AGO,,,,    Owner costs 30% or more of HH income,678,+/- 141,34.9
,,,,E8. WORKERS BY OCCUPATION,,,,Universe: Population 1 year and over,,,,    Median owner costs,3105,+/- 248,
,,,,Universe: Civilian employed population 16 years and over,,,,Population 1 year and over,8656,+/- 571,,  Housing units without a mortgage,705,+/- 140,26.7
,,,,Civilian employed population 16 years and over,4245,+/- 342,,  Same house,7678,+/- 612,88.7,    Nonmortgage owner costs 30% or more of HH income,110,+/- 55,15.6
,,,,"  Management, business, science, and arts occupations",2905,+/- 275,68.4,  Different house in the U.S.,959,+/- 276,11.1,    Median owner costs,1043,+/- 161,
,,,,  Service occupations,244,+/- 106,5.7,    Same county,570,+/- 197,59.4,H11. GROSS RENT,,,
,,,,  Sales and office occupations,865,+/- 160,20.4,    Different county (any),389,+/- 27,40.6,Universe: Renter-occupied units,,,
,,,,"  Farming, fishing, and forestry occupations",-,,,    Different county (same state),154,+/- 101,16.1,Renter-occupied units,275,+/- 95,
,,,,"  Construction, extraction, installation, maintenance, and repair occupations",154,+/- 73,3.6,    Different state,235,+/- 166,24.5,  Paying cash rent,256,+/- 95,93.1
,,,,"  Production, transportation, and material moving occupations",77,+/- 43,1.8,  Lived abroad 1 year ago,19,+/- 25,0.2,  Paying no cash rent,19,+/- 20,6.9
,,,,E9. WORKERS BY INDUSTRY,,,,S12. PLACE OF BIRTH AND CITIZENSHIP STATUS,,,,  Median rent,1511,+/- 372,
,,,,Universe: Civilian employed population 16 years and over,,,,Universe: Total population,,,,  Average gross rent,1831,,
,,,,Civilian employed population 16 years and over,4245,+/- 342,,Total population,8754,+/- 581,,  Gross rent 30% or more of HH income,92,+/- 62,33.5
,,,,"  Agriculture, forestry, fishing and hunting, and mining",18,+/- 29,0.4,  U.S. native,7601,+/- 515,86.8,  Gross rent of $750 or more,206,+/- 97,74.9
,,,,  Construction,211,+/- 87,5,    Born in United States,7411,+/- 576,97.5,,,,
,,,,  Manufacturing,324,+/- 90,7.6,      Born in state of current residence,4182,+/- 447,56.4,,,,
,,,,  Wholesale trade,57,+/- 37,1.3,      Born in different state than current residence,3229,+/- 364,43.6,,,,
,,,,  Retail trade,286,+/- 81,6.7,"    Born in Puerto Rico, U.S. Island areas, or born abroad to American parents",190,+/- 91,2.5,,,,
,,,,"  Transportation and warehousing, and utilities",76,+/- 53,1.8,  Foreign born,1153,+/- 214,13.2,,,,
,,,,  Information,113,+/- 56,2.7,    Naturalized U.S. citizen,773,+/- 170,67,,,,
,,,,"  Finance and insurance, and real estate and rental and leasing",382,+/- 95,9,    Not a U.S. citizen,380,+/- 124,33,,,,
,,,,"  Professional, scientific, management, and administrative",1133,+/- 190,26.7,S13. YEAR OF ENTRY,,,,,,,
,,,,"  Educational services, and health care and social assistance",1030,+/- 174,24.3,Universe: Population born outside the United States,,,,,,,
,,,,"  Arts, entertainment, and recreation, and accommodation and food services",237,+/- 103,5.6,Population born outside the United States,1343,+/- 237,15.3,,,,
,,,,"  Other services, except public administration",171,+/- 94,4,"  Native, born outside U.S.",190,+/- 94,14.1,,,,
,,,,  Public administration,207,+/- 85,4.9,    Entered U.S. 2000 or later,63,+/- 40,33.2,,,,
,,,,E10. CLASS OF WORKER,,,,    Entered U.S. before 2000,185,+/- 92,97.4,,,,
,,,,Universe: Civilian employed population 16 years and over,,,,  Foreign born,1153,+/- 214,13.2,,,,
,,,,Civilian employed population 16 years and over,4245,+/- 342,,    Entered U.S. 2000 or later,341,+/- 101,29.6,,,,
,,,,  Private wage and salary workers,3154,+/- 285,74.3,    Entered U.S. before 2000,812,+/- 176,70.4,,,,
,,,,  Government workers,538,+/- 118,12.7,S14. WORLD REGION OF BIRTH OF FOREIGN BORN,,,,,,,
,,,,  Self-employed workers in own not incorporated business,545,+/- 214,12.8,"Universe: Foreign-born population, excluding population born at sea",,,,,,,
,,,,  Unpaid family workers,8,+/- 22,0.2,"Foreign-born population, excluding population born at sea",1153,+/- 214,13.2,,,,
,,,,E11. INSURANCE COVERAGE,,,,  Europe,140,+/- 60,12.1,,,,
,,,,Universe: Civilian noninstitutionalized population,,,,  Asia,728,+/- 178,63.1,,,,
,,,,Civilian noninstitutionalized persons,8754,+/- 581,,  Africa,28,+/- 25,2.4,,,,
,,,,  Under 65 years of age,8017,+/- 474,91.6,  Oceania,32,+/- 41,2.8,,,,
,,,,    Without insurance coverage,391,+/- 127,4.9,  South and Central America (includes Mexico),113,+/- 84,9.8,,,,
,,,,    With public insurance,249,+/- 102,3.1,  Northern America,112,+/- 73,9.7,,,,
,,,,    With private insurance,7493,+/- 463,93.5,S15. LANGUAGE SPOKEN AT HOME,,,,,,,
,,,,  Under 19 years of age,2822,+/- 293,32.2,Universe: Population 5 years and over,,,,,,,
,,,,    Without insurance coverage,53,+/- 48,1.9,Population 5 years and over,-,,,,,,
,,,,,,,,  English only,6666,+/- 493,,,,,
,,,,,,,,  Language other than English,1402,+/- 307,,,,,
,,,,,,,,"    Speaks English less than ""very well""",305,+/- 88,21.8,,,,
,,,,,,,,  Speak Spanish,484,+/- 205,,,,,
,,,,,,,,"    Speaks English less than ""very well""",109,+/- 47,22.5,,,,
,,,,,,,,S16. COMPUTER OWNERSHIP AND INTERNET USE,,,,,,,
,,,,,,,,Universe: Total households,,,,,,,
,,,,,,,,Total households,2920,+/- 173,,,,,
,,,,,,,,  Households with no computer,29,+/- 26,1,,,,
,,,,,,,,  Households with a computer,2891,+/- 174,99,,,,
,,,,,,,,    With a dial-up internet subscription alone,10,+/- 16,0.3,,,,
,,,,,,,,    With a broadband internet subscription,2750,+/- 182,95.1,,,,
,,,,,,,,    No internet subscription,131,+/- 79,4.5,,,,
